自動車メーカー,車種,型式,適合詳細,最大上げ幅,セット内容,物販売価,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,備考,注意事項,定価,送料,SET価格
トヨタ,ピクシスバン,S321M/S331M,,40mm,A+C,33855,,260183,OT-max40-qq-e-f1-h-3k,OT-max40-qq-e-d-h-3k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
日産,NV100クリッパートラック,DR16T,,40mm,B+D,33855,,260213,OT-max40-qq-e-f1-h-4k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
日産,NV100クリッパートラック,U71T/U72T,,40mm,A+D,33855,,260214,OT-max40-qq-e-f1-h-5k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
日産,NV100クリッパーバン,DR17V/DR17W,,40mm,A+C,33855,,260184,OT-max40-qq-e-f1-h-6k,OT-max40-qq-e-d-h-6k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
日産,NV100クリッパーリオ,DR64V/DR64W,,40mm,A+C,33855,,260185,OT-max40-qq-e-f1-h-7k,OT-max40-qq-e-d-h-7k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
日産,NV100クリッパーリオ,U71V/U72V,,40mm,A+C,33855,,260186,OT-max40-qq-e-f1-h-8k,OT-max40-qq-e-d-h-8k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ホンダ,N-VAN,JJ1/JJ2,,40mm,A+C,33855,,260187,OT-max40-qq-e-f1-h-9k,OT-max40-qq-e-d-h-9k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
マツダ,スクラムトラック,DG16T,,40mm,B+D,33855,,260218,OT-max40-qq-e-f1-h-16k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
マツダ,スクラムトラック,DG62T,,40mm,A+D,33855,,260220,OT-max40-qq-e-f1-h-18k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
マツダ,スクラムトラック,DG63T,,40mm,A+D,33855,,260219,OT-max40-qq-e-f1-h-17k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
マツダ,スクラムバン,DG17V/DG17W,,40mm,A+C,33855,,260191,OT-max40-qq-e-f1-h-19k,OT-max40-qq-e-d-h-19k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
マツダ,スクラムワゴン,DG62V/DG62W,,40mm,A+C,33855,,260193,OT-max40-qq-e-f1-h-21k,OT-max40-qq-e-d-h-21k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
マツダ,スクラムワゴン,DG64V/DG64W,,40mm,A+C,33855,,260192,OT-max40-qq-e-f1-h-20k,OT-max40-qq-e-d-h-20k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
三菱,パジェロミニ,H58A,,40mm,A+C,33855,,260188,OT-max40-qq-e-f1-h-10k,OT-max40-qq-e-d-h-10k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
三菱,ミニキャブトラック,DS16T,,40mm,B+D,33855,,260215,OT-max40-qq-e-f1-h-11k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
三菱,ミニキャブトラック,U61T/U62T,,40mm,A+D,33855,,260216,OT-max40-qq-e-f1-h-12k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
三菱,ミニキャブバン/タウンボックス,DS17V/DS17W,,40mm,A+C,33855,,260189,OT-max40-qq-e-f1-h-13k,OT-max40-qq-e-d-h-13k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
三菱,ミニキャブバン/タウンボックス,DS64V/DS64W,,40mm,A+C,33855,,260190,OT-max40-qq-e-f1-h-14k,OT-max40-qq-e-d-h-14k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
三菱,ミニキャブバン/タウンボックス,U61V/U62V/U71V/U72V/U61W/U62W/U71W/U72W,,40mm,A+C,33855,,260217,OT-max40-qq-e-f1-h-15k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
