自動車メーカー,車種,型式,エンジン,適合詳細,仕様,プレート,種類,販売価格,Camp価格,商品ID,物販コード,メーカー品番,メーカー名,商品名,商品,商品種別,付属品/必要部品,備考,注意事項,定価,入り送料,,規格1,パターン数,管理用コード
トヨタ,スープラ,JZA70,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,292108,ORC-P559D-TT0202-qq-e-280k,ORC-P559D-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,178000,0,,,,
トヨタ,スープラ,JZA70,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291860,ORC-P559-TT0202-qq-e-281k,ORC-P559-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,172000,0,,,,
トヨタ,スープラ,JZA70,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,148753,,291741,ORC-559D-02T-qq-e-284k,ORC-559D-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,210000,0,,,,
トヨタ,スープラ,JZA70,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,144565,,291691,ORC-559-02T-qq-e-283k,ORC-559-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,204000,0,,,,
トヨタ,スープラ,JZA70,1JZ-GTE,,SE機構付き<br>プル式,トリプル,1000F,148753,,291809,ORC-P1000F-TT0202-qq-e-276k,ORC-P1000F-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,210000,0,,,,
トヨタ,スープラ,JZA70,1JZ-GTE,,プッシュ式,トリプル,1000F,169693,,291539,ORC-1000F-02T-qq-e-275k,ORC-1000F-02T,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,240000,0,,,,
トヨタ,スープラ,JZA70,1JZ-GTE,,プッシュ式,トリプル,1000F,181560,,291553,ORC-1000F-SPL-TT0202-qq-e-277k,ORC-1000F-SPL-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,ドラッグ専用。走行毎に、クラッチ調整を行って使用してください。,257000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,155733,,291795,ORC-659D-TT0101-qq-e-302k,ORC-659D-TT0101,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,220000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,151545,,291779,ORC-659-TT0101-qq-e-301k,ORC-659-TT0101,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,214000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,SE機構付き<br>HP(高圧着タイプ)<br>プル式,ツイン,659,129209,,291934,ORC-P659-TT0101-qq-e-300k,ORC-P659-TT0101,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,182000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291957,ORC-P659D-TT0101-qq-e-299k,ORC-P659D-TT0101,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,188000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,291903,ORC-P559D-TT0101-qq-e-303k,ORC-P559D-TT0101,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,178000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291858,ORC-P559-TT0101-qq-e-304k,ORC-P559-TT0101,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,172000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,148753,,291734,ORC-559D-01T-qq-e-297k,ORC-559D-01T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,210000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,144565,,292051,ORC-559-01T-qq-e-298k,ORC-559-01T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,204000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,SE機構付き<br>プル式,トリプル,1000F,148753,,291806,ORC-P1000F-TT0101-qq-e-295k,ORC-P1000F-TT0101,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,210000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,プッシュ式,トリプル,1000F,169693,,291536,ORC-1000F-01T-qq-e-296k,ORC-1000F-01T,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,240000,0,,,,
トヨタ,スープラ,JZA80,2JZ-GTE,5速車除く,プッシュ式,トリプル,1000F,181560,,291551,ORC-1000F-SPL-TT0101-qq-e-294k,ORC-1000F-SPL-TT0101,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,ドラッグ専用。走行毎に、クラッチ調整を行って使用してください。,257000,0,,,,
トヨタ,スターレット,EP82,4E-FT,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,291585,ORC-309D-14T-qq-e-309k,ORC-309D-14T,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,スターレット,EP91,4E-FT,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,291586,ORC-309D-14T-qq-e-312k,ORC-309D-14T,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,セリカ,ST185,3S-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,292042,ORC-409D-03T-qq-e-315k,ORC-409D-03T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,103000,0,,,,
トヨタ,セリカ,ST205,3S-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,291665,ORC-409D-03T-qq-e-318k,ORC-409D-03T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,103000,0,,,,
トヨタ,セリカ,ZZT231,2ZZ,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,291582,ORC-309D-08T-qq-e-322k,ORC-309D-08T,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,シングル,409,89422,,291819,ORC-P409-TT0202-qq-e-334k,ORC-P409-TT0202,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,125000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,103382,,291656,ORC-409D-02T-qq-e-327k,ORC-409D-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,145000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,101287,,292033,ORC-409-02T-qq-e-328k,ORC-409-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,142000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,155733,,291797,ORC-659D-TT0202-qq-e-333k,ORC-659D-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,220000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,151545,,291783,ORC-659-TT0202-qq-e-330k,ORC-659-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,214000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,SE機構付き<br>HP(高圧着タイプ)<br>プル式,ツイン,659,129209,,291937,ORC-P659-TT0202-qq-e-340k,ORC-P659-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,182000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291960,ORC-P659D-TT0202-qq-e-337k,ORC-P659D-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,188000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,291906,ORC-P559D-TT0202-qq-e-331k,ORC-P559D-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,178000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291861,ORC-P559-TT0202-qq-e-336k,ORC-P559-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,172000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,148753,,292069,ORC-559D-02T-qq-e-335k,ORC-559D-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,210000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,144565,,291692,ORC-559-02T-qq-e-332k,ORC-559-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,204000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,SE機構付き<br>プル式,トリプル,1000F,148753,,292089,ORC-P1000F-TT0202-qq-e-339k,ORC-P1000F-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,210000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,プッシュ式,トリプル,1000F,169693,,291540,ORC-1000F-02T-qq-e-341k,ORC-1000F-02T,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,240000,0,,,,
トヨタ,ソアラ,JZZ30,1JZ-GTE,,プッシュ式,トリプル,1000F,181560,,291554,ORC-1000F-SPL-TT0202-qq-e-338k,ORC-1000F-SPL-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,ドラッグ専用。走行毎に、クラッチ調整を行って使用してください。,257000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,シングル,409,89422,,291820,ORC-P409-TT0202-qq-e-356k,ORC-P409-TT0202,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,125000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,103382,,291657,ORC-409D-02T-qq-e-353k,ORC-409D-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,145000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,101287,,291641,ORC-409-02T-qq-e-354k,ORC-409-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,142000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,155733,,292087,ORC-659D-TT0202-qq-e-361k,ORC-659D-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,220000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,151545,,291784,ORC-659-TT0202-qq-e-359k,ORC-659-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,214000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,SE機構付き<br>HP(高圧着タイプ)<br>プル式,ツイン,659,129209,,292114,ORC-P659-TT0202-qq-e-351k,ORC-P659-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,182000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291961,ORC-P659D-TT0202-qq-e-352k,ORC-P659D-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,188000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,291907,ORC-P559D-TT0202-qq-e-357k,ORC-P559D-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,178000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291862,ORC-P559-TT0202-qq-e-358k,ORC-P559-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,172000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,148753,,291742,ORC-559D-02T-qq-e-360k,ORC-559D-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,210000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,144565,,292054,ORC-559-02T-qq-e-362k,ORC-559-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,204000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,SE機構付き<br>プル式,トリプル,1000F,148753,,292090,ORC-P1000F-TT0202-qq-e-350k,ORC-P1000F-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,210000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,プッシュ式,トリプル,1000F,181560,,291555,ORC-1000F-SPL-TT0202-qq-e-348k,ORC-1000F-SPL-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,ドラッグ専用。走行毎に、クラッチ調整を行って使用してください。,257000,0,,,,
トヨタ,チェイサー,JZX100,1JZ-GTE,,プッシュ式,トリプル,1000F,169693,,292008,ORC-1000F-02T-qq-e-349k,ORC-1000F-02T,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,240000,0,,,,
トヨタ,チェイサー,JZX90,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,シングル,409,89422,,291821,ORC-P409-TT0202-qq-e-371k,ORC-P409-TT0202,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,125000,0,,,,
トヨタ,チェイサー,JZX90,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,103382,,291658,ORC-409D-02T-qq-e-372k,ORC-409D-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,145000,0,,,,
トヨタ,チェイサー,JZX90,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,101287,,291642,ORC-409-02T-qq-e-369k,ORC-409-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,142000,0,,,,
トヨタ,チェイサー,JZX90,1JZ-GTE,,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,155733,,291798,ORC-659D-TT0202-qq-e-374k,ORC-659D-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,220000,0,,,,
