自動車メーカー,車種,型式,年式,エンジン,駆動方式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,スプリング付属,EDFC対応,減衰力調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
日産,ティーダ,C11,2004/09～2012/06,1500,FF,15S/15M/15G/アクシス,,64426,,263260,VSP58-B1SS2-qq-e-66k,VSP58-B1SS2-qq-e-d-66k,4582202769979,VSP58-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-25/-20,2.6/4.0,291/228,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
日産,ティーダ,JC11,2005/01～2010/07,1800,FF,18G,,64426,,263261,VSP58-B1SS2-qq-e-67k,VSP58-B1SS2-qq-e-d-67k,4582202769979,VSP58-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-30/-25,2.6/4.0,291/228,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
ホンダ,オデッセイ,RC1,2013/11～,2400,FF,アブソルート/アブソルートEX,,64426,,263250,VSHE4-B1SS2-qq-e-68k,VSHE4-B1SS2-qq-e-d-68k,4582202769894,VSHE4-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-25/-25,3.5/7.0,321/275,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
ホンダ,フィット,GE8,2007/10～2013/08,1500,FF,RS,,64426,,263242,VSB80-B1SS2-qq-e-2,VSB80-B1SS2-qq-e-d-2,4582202767234,VSB80-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,エクステンションキットで対応,○/○,純正マウント/純正マウント,-25/-30,2.2/2.3,334/310,リア:内装のサービスホールカバーの取外しまたは加工が必要。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
ホンダ,フィット,GK3,2013/09～,1300,FF,13G/13G Fパッケージ/13G Lパッケージ/13G Sパッケージ,,64426,,263247,VSHD8-B1SS2-qq-e-3,VSHD8-B1SS2-qq-e-d-3,4582202767258,VSHD8-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,エクステンションキットで対応,○/○,純正マウント/純正マウント,-25/-25,2.2/2.3,334/310,純正バンプラバーを加工して再使用。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
ホンダ,フィット,GK5,2013/09～,1500,FF,15X/15X Lパッケージ,グレード:RSは適合未確認,64426,,263248,VSHD8-B1SS2-qq-e-4,VSHD8-B1SS2-qq-e-d-4,4582202767258,VSHD8-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,エクステンションキットで対応,○/○,純正マウント/純正マウント,-30/-30,2.2/2.3,334/310,純正バンプラバーを加工して再使用。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
ホンダ,フィットハイブリッド,GP5,2013/09～,1500,FF,ハイブリッド/ハイブリッド Fパッケージ/ハイブリッド Lパッケージ/ハイブリッド Sパッケージ,,64426,,263249,VSHD8-B1SS2-qq-e-5,VSHD8-B1SS2-qq-e-d-5,4582202767258,VSHD8-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,エクステンションキットで対応,○/○,純正マウント/純正マウント,-30/-35,2.2/2.3,334/310,純正バンプラバーを加工して再使用。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
マツダ,アクセラスポーツ,BLEFW,2009/06～2011/09,2000,FF,20C/20S,,71960,,263256,VSM98-B1SS3-qq-e-77k,VSM98-B1SS3-qq-e-d-77k,4589533464535,VSM98-B1SS3,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/強化ゴムマウント付属,-30/-30,2.8/2.4,277/314,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,92000,88600
マツダ,アクセラスポーツ,BLFFW,2011/09～2013/11,2000,FF,20Cスカイアクティブ/20Sスカイアクティブ,,71960,,263257,VSM98-B1SS3-qq-e-78k,VSM98-B1SS3-qq-e-d-78k,4589533464535,VSM98-B1SS3,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/強化ゴムマウント付属,-35/-20,2.8/2.4,277/314,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,92000,88600
マツダ,アクセラスポーツ,BMEFS,2013/11～2016/07,2000,FF,20S/20Sツーリング/20Sツーリング Lパッケージ,,71960,,263259,VSMA8-B1SS3-qq-e-79k,VSMA8-B1SS3-qq-e-d-79k,4589533464580,VSMA8-B1SS3,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/強化ゴムマウント付属,-30/-35,2.7/3.2,310/340,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,92000,88600
マツダ,アクセラセダン,BLEFP,2009/06～2011/09,2000,FF,20C/20E,,71960,,263258,VSM98-B1SS3-qq-e-80k,VSM98-B1SS3-qq-e-d-80k,4589533464535,VSM98-B1SS3,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/強化ゴムマウント付属,-30/-30,2.8/2.4,277/314,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,92000,88600
マツダ,アテンザスポーツ,GH5FS,2008/01～2012/11,2500,FF,25Z/25S/25EX,,64426,,263254,VSM94-B1SS2-qq-e-81k,VSM94-B1SS2-qq-e-d-81k,4582202768804,VSM94-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-30/-25,5.0/5.0,338/300,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
マツダ,アテンザスポーツワゴン,GH5FW,2008/01～2012/11,2500,FF,25Z/25S/25EX,,64426,,263255,VSM94-B1SS2-qq-e-82k,VSM94-B1SS2-qq-e-d-82k,4582202768804,VSM94-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-35/-30,5.0/5.0,338/300,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
