OPEL,ティグラ,XJ140,94/11～,,,Fr：25～30mm<br>Rr：25～30mm,17600,,222697,ESL-022-qq-e-f1-2238,出さない,4536190400222,ESL-022,ESPELIR,Super DOWNSUS,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,2.4/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,出さない
PEUGEOT,308CC,T7C5F02,H22/6～,5F02,2WD 1.6L/Griffe,Fr：20～25mm<br>Rr：20～25mm,17600,,223704,ESL-130-qq-e-f1-2234,ESL-130-qq-e-d-2234,4536190401304,ESL-130,ESPELIR,Super DOWNSUS,1台分,20～25/20～25,Fr：20～25mm<br>Rr：20～25mm,2.9/3.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,51800
PEUGEOT,RCZ,T7R5F02,2010/7～,5F02,2WD 1600cc ターボ 6速A/T,Fr：10～15mm<br>Rr：15～20mm,19800,,223774,ESL-144-qq-e-f1-2233,ESL-144-qq-e-d-2233,4536190401441,ESL-144,ESPELIR,Super DOWNSUS,1台分,10～15/15～20,Fr：10～15mm<br>Rr：15～20mm,2.3/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218459>BRL-144F</a><br>リア:設定なし,,,45000,53900
PORSCHE,パナメーラ,970M46,2010/3～,,2WD 3600cc NA,,26400,,227499,ESL-143-qq-e-f1-2232,出さない,4536190401434,ESL-143,ESPELIR,Super DOWNSUS,1台分,20～25/25～30,,5.8/10,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,60000,出さない
RENAULT,メガーヌルノースポール,DZF4R,H23/2～,F4R,2WD 2.0L ターボ 6M/T,,18480,,226806,ESL-142-qq-e-f1-2231,ESL-142-qq-e-d-2231,4536190401427,ESL-142,ESPELIR,Super DOWNSUS,1台分,20～25/15～20,,4.6/3.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,62700
ROVER,ローバー75,RJ25,04/7～05/6,25K,2WD 2.5L V6,,21120,,226557,ESL-089-qq-e-f1-2230,出さない,4536190400895,ESL-089,ESPELIR,Super DOWNSUS,1台分,15～20/45～50,,3/4.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,48000,出さない
VOLKSWAGEN,Newビートル,9CAQY,98/8～,AQY,NA 2000cc,Fr：25～30mm<br>Rr：25～30mm,18480,,224972,ESL-039-qq-e-f1-2183,ESL-039-qq-e-d-2183,4536190400390,ESL-039,ESPELIR,Super DOWNSUS,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,Newビートル,9CAWU,02/3～,AWU,ターボ 1800cc,Fr：20～25mm<br>Rr：15～20mm,18480,,225373,ESL-053-qq-e-f1-2185,ESL-053-qq-e-d-2185,4536190400536,ESL-053,ESPELIR,Super DOWNSUS,1台分,20～25/15～20,Fr：20～25mm<br>Rr：15～20mm,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,Newビートル,9CAZJ,02/8～,AZJ,NA 2000cc,Fr：20～25mm<br>Rr：20～25mm,18480,,223550,ESL-078-qq-e-f1-2184,ESL-078-qq-e-d-2184,4536190400789,ESL-078,ESPELIR,Super DOWNSUS,1台分,20～25/20～25,Fr：20～25mm<br>Rr：20～25mm,2.4/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,Newビートル,9CBFS,05/10～,BFS,NA 1600cc/EZ,Fr：15～20mm<br>Rr：25～30mm,18480,,225067,ESL-078-qq-e-f1-2186,ESL-078-qq-e-d-2186,4536190400789,ESL-078,ESPELIR,Super DOWNSUS,1台分,15～20/25～30,Fr：15～20mm<br>Rr：25～30mm,2.4/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,Newビートルカブリオレ,1YAZJ,03/6～,AZJ,2000cc,Fr：15～20mm<br>Rr：20～25mm,18480,,223549,ESL-061-qq-e-f1-2182,ESL-061-qq-e-d-2182,4536190400611,ESL-061,ESPELIR,Super DOWNSUS,1台分,15～20/20～25,Fr：15～20mm<br>Rr：20～25mm,2.4/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,UP!,AACHY,H24/10～,CHY,ムーブアップ!/ハイアップ!,,14520,,227159,ESL-149-qq-e-f1-2226,ESL-149-qq-e-d-2226,4536190401496,ESL-149,ESPELIR,Super DOWNSUS,1台分,30～35/40～45,,2.6/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,シティーエマージェンシーブレーキの機能は保証致しません,33000,48900
VOLKSWAGEN,ヴェント,1H2E,91/9～94/8,,フロント上部外径104mm専用/VR6を除く,,17160,,227158,ESL-017-qq-e-f1-2207,出さない,4536190400178,ESL-017,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ヴェント,1HADY,94/9～97/10,,フロント上部外径90mm専用/VR6を除く,Fr：30～35mm<br>Rr：30～35mm,17160,,222837,ESL-010-qq-e-f1-2209,出さない,4536190400109,ESL-010,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,3.2/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3,1H2E,91/9～94/8,,前期用/フロント上部外径104mm専用/VR6を除く,Fr：30～35mm<br>Rr：30～35mm,17160,,224971,ESL-017-qq-e-f1-2208,出さない,4536190400178,ESL-017,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3,1HABF,94/9～97/10,,2000cc GTI-16V/フロント上部外径90mm専用,Fr：20～25mm<br>Rr：20～25mm,17160,,222054,ESL-072-qq-e-f1-2211,出さない,4536190400727,ESL-072,ESPELIR,Super DOWNSUS,1台分,20～25/20～25,Fr：20～25mm<br>Rr：20～25mm,3.2/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3,1HABS,91/9～94/8,,前期用/フロント上部外径104mm専用/VR6を除く,Fr：30～35mm<br>Rr：30～35mm,17160,,222696,ESL-017-qq-e-f1-2188,出さない,4536190400178,ESL-017,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3,1HADY,94/9～97/10,,後期用/フロント上部外径90mm専用/VR6を除く,Fr：30～35mm<br>Rr：30～35mm,17160,,224360,ESL-010-qq-e-f1-2210,出さない,4536190400109,ESL-010,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,3.2/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3,1HADZ,94/9～97/10,,後期用/フロント上部外径90mm専用/VR6を除く,,17160,,227334,ESL-010-qq-e-f1-2189,出さない,4536190400109,ESL-010,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,,3.2/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3,1HAGG,97/11～98/7,AGG,2WD GTモータースポーツ,Fr：35～40mm<br>Rr：25～30mm,17160,,224309,ESL-072-qq-e-f1-2212,出さない,4536190400727,ESL-072,ESPELIR,Super DOWNSUS,1台分,35～40/25～30,Fr：35～40mm<br>Rr：25～30mm,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3 カブリオ,1EADYK,95/1～96/8,ADY,2WD 2.0L,,17160,,225807,ESL-082-qq-e-f1-2205,出さない,4536190400826,ESL-082,ESPELIR,Super DOWNSUS,1台分,25～30/30～35,,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3 カブリオ,1EAGGK,96/9～98/12,AGG,2WD 2.0L,,17160,,227335,ESL-082-qq-e-f1-2206,出さない,4536190400826,ESL-082,ESPELIR,Super DOWNSUS,1台分,25～30/35～40,,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3ワゴン,1HADY,94/9～99/3,,,Fr：25～30mm<br>Rr：25～30mm,17160,,222113,ESL-011-qq-e-f1-2203,出さない,4536190400116,ESL-011,ESPELIR,Super DOWNSUS,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ3ワゴン,1HAGG,94/9～99/3,,,,17160,,225884,ESL-011-qq-e-f1-2204,出さない,4536190400116,ESL-011,ESPELIR,Super DOWNSUS,1台分,25～30/25～30,,3.2/2.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ゴルフ4,1JAGN,97/10～04/5,AGN,1800cc CLi,Fr：30～35mm<br>Rr：30～35mm,18480,,221950,ESL-041-qq-e-f1-2178,ESL-041-qq-e-d-2178,4536190400413,ESL-041,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,ゴルフ4,1JAPK,97/10～04/5,APK,2000cc GLi,Fr：30～35mm<br>Rr：30～35mm,18480,,224233,ESL-041-qq-e-f1-2199,ESL-041-qq-e-d-2199,4536190400413,ESL-041,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,ゴルフ4,1JAPK,97/10～04/5,APK,2000cc GLi/25周年アニバーサリーモデル/16インチ装着車,Fr：25～30mm<br>Rr：35～40mm,18480,,224234,ESL-041-qq-e-f1-2200,ESL-041-qq-e-d-2200,4536190400413,ESL-041,ESPELIR,Super DOWNSUS,1台分,25～30/35～40,Fr：25～30mm<br>Rr：35～40mm,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,ゴルフ4,1JAUM,01/9～04/7,AUM,1800cc ターボ/GTI 5A/T車,Fr：15～20mm<br>Rr：20～25mm,18480,,225069,ESL-093-qq-e-f1-2202,ESL-093-qq-e-d-2202,4536190400932,ESL-093,ESPELIR,Super DOWNSUS,1台分,15～20/20～25,Fr：15～20mm<br>Rr：20～25mm,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,この車両はスプリングの交換時に合わせて純正のフロントアッパーマウントを新品交換されることをお勧め致します,,42000,52700
VOLKSWAGEN,ゴルフ4ワゴン,1JAPK,99/4～,,2WD 2000cc,Fr：35～40mm<br>Rr：45～50mm,18480,,225370,ESL-047-qq-e-f1-2197,ESL-047-qq-e-d-2197,4536190400475,ESL-047,ESPELIR,Super DOWNSUS,1台分,35～40/45～50,Fr：35～40mm<br>Rr：45～50mm,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,ゴルフ4ワゴン,1JAZJ,02/8～,AZJ,2WD 2000cc/GLi,,18480,,226493,ESL-069-qq-e-f1-2198,ESL-069-qq-e-d-2198,4536190400697,ESL-069,ESPELIR,Super DOWNSUS,1台分,30～35/40～45,,2.7/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,52700
VOLKSWAGEN,ゴルフ5,1KAXW,04/5～04/9,AXW,2WD 2.0L GT/2004年モデル,Fr：20～25mm<br>Rr：25～30mm,16280,,222056,ESL-085-qq-e-f1-2195,ESL-085-qq-e-d-2195,4536190400857,ESL-085,ESPELIR,Super DOWNSUS,1台分,20～25/25～30,Fr：20～25mm<br>Rr：25～30mm,3.2/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,37000,50600
VOLKSWAGEN,ゴルフ5,1KBLX,07/1～,BVY,2WD 2.0L GLi 後期型,Fr：25～30mm<br>Rr：25～30mm,16280,,225071,ESL-114-qq-e-f1-2196,ESL-114-qq-e-d-2196,4536190401144,ESL-114,ESPELIR,Super DOWNSUS,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,37000,50600
VOLKSWAGEN,ゴルフ6,1KCAX,09/4～,CAX,1.4L/TSI コンフォートライン(インタークーラー付きターボ),Fr：25～30mm<br>Rr：25～30mm,15840,,222275,ESL-134-qq-e-f1-2194,ESL-134-qq-e-d-2194,4536190401342,ESL-134,ESPELIR,Super DOWNSUS,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,2.7/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,36000,50200
VOLKSWAGEN,ゴルフトゥーラン,1TBLG,07/3～,BLG,TSI ハイライン,Fr：30～35mm<br>Rr：40～45mm,19360,,223459,ESL-123-qq-e-f1-2193,出さない,4536190401236,ESL-123,ESPELIR,Super DOWNSUS,1台分,30～35/40～45,Fr：30～35mm<br>Rr：40～45mm,3.2/3.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,44000,出さない
VOLKSWAGEN,ゴルフトゥーラン,1TBLP,04/2～,BLP,E/1600cc,Fr：30～35mm<br>Rr：40～45mm,19360,,224976,ESL-123-qq-e-f1-2190,出さない,4536190401236,ESL-123,ESPELIR,Super DOWNSUS,1台分,30～35/40～45,Fr：30～35mm<br>Rr：40～45mm,3.2/3.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,44000,出さない
VOLKSWAGEN,ゴルフトゥーラン,1TBLX,04/2～,BLX,GLi/2000cc,Fr：30～35mm<br>Rr：40～45mm,19360,,222702,ESL-123-qq-e-f1-2191,出さない,4536190401236,ESL-123,ESPELIR,Super DOWNSUS,1台分,30～35/40～45,Fr：30～35mm<br>Rr：40～45mm,3.2/3.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,44000,出さない
VOLKSWAGEN,ゴルフトゥーラン,1TBMY,07/3～,BMY,TSI トレンドライン,Fr：30～35mm<br>Rr：40～45mm,19360,,223458,ESL-123-qq-e-f1-2192,出さない,4536190401236,ESL-123,ESPELIR,Super DOWNSUS,1台分,30～35/40～45,Fr：30～35mm<br>Rr：40～45mm,3.2/3.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,44000,出さない
VOLKSWAGEN,ザ･ビートル,16CBZ,2012/4～2013/10,CBZ,1200cc ターボ/デザイン/デザインレザーパッケージ<br>リアサスペンション:トーションビーム付トレーリングアームのみ対応,Fr：10～15mm<br>Rr：30～40mm,14520,,221951,ESL-150-qq-e-f1-2180,ESL-150-qq-e-d-2180,4536190401502,ESL-150,ESPELIR,Super DOWNSUS,1台分,10～15/30～40,Fr：10～15mm<br>Rr：30～40mm,2.2/1.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,48900
VOLKSWAGEN,ザ･ビートル,16CBZ,2013/10～,CBZ,1200cc ターボ/リアサスペンション:4リンク車,Fr：32～42mm<br>Rr：45～55mm,15400,,223463,ESL-167-qq-e-f1-2181,ESL-167-qq-e-d-2181,4536190401670,ESL-167,ESPELIR,Super DOWNSUS,1台分,32～42/45～55,Fr：32～42mm<br>Rr：45～55mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,灯火類の高さが保安基準に抵触します,35000,49700
VOLKSWAGEN,ジェッタ,1KAXX,06/2～,BWA,2WD 2.0T(インタークラー付きターボ),,17600,,226732,ESL-133-qq-e-f1-2187,出さない,4536190401335,ESL-133,ESPELIR,Super DOWNSUS,1台分,15～20/15～20,,3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,出さない
VOLKSWAGEN,ティグアン Rライン,5NCCZ,H22/9～,CCZ,フルタイム4WD 2000cc インタークーラー付きターボ Rライン,Fr：30～35mm<br>Rr：30～35mm,20240,,223776,ESL-146-qq-e-f1-2177,出さない,4536190401465,ESL-146,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,3.3/4.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,46000,出さない
VOLKSWAGEN,パサート,3CAXX,H18/4～20/8,BWA,2.0T ターボ,Fr：20～25mm<br>Rr：30～35mm,17600,,224511,ESL-135-qq-e-f1-2214,出さない,4536190401359,ESL-135,ESPELIR,Super DOWNSUS,1台分,20～25/30～35,Fr：20～25mm<br>Rr：30～35mm,3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,40000,出さない
VOLKSWAGEN,パサートヴァリアント,3CAXZF,06/7～,AXZ,3200cc V6/4モーション,,21120,,225810,ESL-115-qq-e-f1-2213,出さない,4536190401151,ESL-115,ESPELIR,Super DOWNSUS,1台分,30～35/35～40,,3.5/5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,48000,出さない
VOLKSWAGEN,ボーラ,1JAPK,98/11～,,2000cc/BORA,,18480,,225621,ESL-041-qq-e-f1-2201,出さない,4536190400413,ESL-041,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,出さない
VOLKSWAGEN,ボーラワゴン,1JAJM,99/1～,,2000cc/BORA WAGON,Fr：30～35mm<br>Rr：30～35mm,18480,,224510,ESL-044-qq-e-f1-2179,出さない,4536190400444,ESL-044,ESPELIR,Super DOWNSUS,1台分,30～35/30～35,Fr：30～35mm<br>Rr：30～35mm,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,42000,出さない
VOLKSWAGEN,ポロ,6NAHS,94/10～99/10,AHS,2WD 1.6L,Fr：30～35mm<br>Rr：25～30mm,17160,,222698,ESL-025-qq-e-f1-2219,出さない,4536190400253,ESL-025,ESPELIR,Super DOWNSUS,1台分,30～35/25～30,Fr：30～35mm<br>Rr：25～30mm,3/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ポロ,6NAHS,99/8～02/5,AHS,オープンエアー(キャンバストップ車),,17160,,226386,ESL-025-qq-e-f1-2218,出さない,4536190400253,ESL-025,ESPELIR,Super DOWNSUS,1台分,35～40/25～30,,3/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ポロ,6NAHW,99/10～02/5,AHW,2WD 1.4L 16V,,17160,,226803,ESL-043-qq-e-f1-2220,出さない,4536190400437,ESL-043,ESPELIR,Super DOWNSUS,1台分,35～40/25～30,,2.7/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,39000,出さない
VOLKSWAGEN,ポロ,6RCBZ,10/6～,CBZ,2WD 1.2L TSI コンフォートライン/インタークーラー付きターボ車,Fr：25～35mm<br>Rr：40～50mm,14520,,225222,ESL-131-qq-e-f1-2224,ESL-131-qq-e-d-2224,4536190401311,ESL-131,ESPELIR,Super DOWNSUS,1台分,25～35/40～50,Fr：25～35mm<br>Rr：40～50mm,2.4/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,48900
VOLKSWAGEN,ポロ,6RCGG,09/10～,CGG,2WD 1.4L コンフォートライン,Fr：25～30mm<br>Rr：40～45mm,14520,,222273,ESL-127-qq-e-f1-2223,ESL-127-qq-e-d-2223,4536190401274,ESL-127,ESPELIR,Super DOWNSUS,1台分,25～30/40～45,Fr：25～30mm<br>Rr：40～45mm,2.5/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,48900
VOLKSWAGEN,ポロ,6RCJZ,14/8～,CJZ,2WD 1.2L TSIコンフォートライン/インタークーラー付きターボ車,,14520,,227496,ESL-131-qq-e-f1-2225,ESL-131-qq-e-d-2225,4536190401311,ESL-131,ESPELIR,Super DOWNSUS,1台分,25～35/40～50,,2.4/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,48900
VOLKSWAGEN,ポロ,9NBBY,02/6～05/9,BBY,2WD 1.4L 前期型,,14520,,226804,ESL-057-qq-e-f1-2221,ESL-057-qq-e-d-2221,4536190400574,ESL-057,ESPELIR,Super DOWNSUS,1台分,30～35/35～40,,2.9/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,48900
VOLKSWAGEN,ポロ,9NBKY,05/9～09/10,BKY,2WD 1.4L 後期型,,14520,,226558,ESL-095-qq-e-f1-2222,ESL-095-qq-e-d-2222,4536190400956,ESL-095,ESPELIR,Super DOWNSUS,1台分,20～25/40～45,,2.9/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:設定なし,,,33000,48900
