スバル,ステラ,LA110F,H23/8～H24/12,KF-DET2,4WD ターボ/カスタムRS,Fr：37～42mm<br>Rr：30～35mm,11440,,225595,ESF-2103-qq-e-f1-157,ESF-2103-qq-e-d-157,4.53619E+12,ESF-2103,ESPELIR,DOWNSUS,1台分,37～42/30～35,Fr：37～42mm<br>Rr：30～35mm,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216616>BR-808F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213761>BR-1064R</a>,,,26000,26000
スバル,ステラ,LA110F,H25/1～,KF-VE2,4WD NA 後期型/L/Lリミテッド/カスタムR,,11440,,226361,ESF-2104-qq-e-f1-158,ESF-2104-qq-e-d-158,4.53619E+12,ESF-2104,ESPELIR,DOWNSUS,1台分,37～42/30～35,,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217588>BR-808F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213762>BR-1064R</a>,,,26000,26000
スバル,ステラ,LA150F,H26/12～H29/7,KF,2WD NA 前期/Gスマートアシスト/Lスマートアシスト/L,Fr：22～27mm<br>Rr：17～22mm,12760,,225123,ESF-3696-qq-e-f1-5159,ESF-3696-qq-e-d-5159,4.53619E+12,ESF-3696,ESPELIR,DOWNSUS,1台分,22～27/17～22,Fr：22～27mm<br>Rr：17～22mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217152>BR-1752F</a><br>リア:設定なし,,,29000,27200
スバル,ステラ,LA150F,H26/12～H29/7,KF,2WD NA 前期/カスタム Rスマートアシスト,Fr：22～27mm<br>Rr：17～22mm,12760,,222821,ESF-3693-qq-e-f1-5156,ESF-3693-qq-e-d-5156,4.53619E+12,ESF-3693,ESPELIR,DOWNSUS,1台分,22～27/17～22,Fr：22～27mm<br>Rr：17～22mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218180>BR-1752F</a><br>リア:設定なし,,,29000,27200
スバル,ステラ,LA150F,H26/12～H29/7,KF,2WD ターボ 前期/カスタム RSスマートアシスト,Fr：22～27mm<br>Rr：17～22mm,12760,,223600,ESF-3694-qq-e-f1-5157,ESF-3694-qq-e-d-5157,4.53619E+12,ESF-3694,ESPELIR,DOWNSUS,1台分,22～27/17～22,Fr：22～27mm<br>Rr：17～22mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218181>BR-1752F</a><br>リア:設定なし,,,29000,27200
スバル,ステラ,LA150F,H29/8～,KF,2WD NA 後期/Gスマートアシスト/Lスマートアシスト/L,Fr：22～27mm<br>Rr：17～22mm,12760,,224349,ESF-3700-qq-e-f1-5161,ESF-3700-qq-e-d-5161,4.53619E+12,ESF-3700,ESPELIR,DOWNSUS,1台分,22～27/17～22,Fr：22～27mm<br>Rr：17～22mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219202>BR-1752F</a><br>リア:設定なし,,,29000,27200
スバル,ステラ,LA150F,H29/8～,KF,2WD NA 後期/カスタム Rスマートアシスト,Fr：22～27mm<br>Rr：17～22mm,12760,,225125,ESF-3702-qq-e-f1-5163,ESF-3702-qq-e-d-5163,4.53619E+12,ESF-3702,ESPELIR,DOWNSUS,1台分,22～27/17～22,Fr：22～27mm<br>Rr：17～22mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219203>BR-1752F</a><br>リア:設定なし,,,29000,27200
スバル,ステラ,LA150F,H29/8～,KF,2WD ターボ 後期/カスタム RSスマートアシスト,Fr：22～27mm<br>Rr：17～22mm,12760,,223601,ESF-3704-qq-e-f1-5165,ESF-3704-qq-e-d-5165,4.53619E+12,ESF-3704,ESPELIR,DOWNSUS,1台分,22～27/17～22,Fr：22～27mm<br>Rr：17～22mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217153>BR-1752F</a><br>リア:設定なし,,,29000,27200
スバル,ステラ,LA160F,H26/12～H29/7,KF,4WD NA 前期/Gスマートアシスト/Lスマートアシスト/L,,12760,,227390,ESF-3698-qq-e-f1-3634,ESF-3698-qq-e-d-3634,4.53619E+12,ESF-3698,ESPELIR,DOWNSUS,1台分,35～40/27～32,,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213153>BR-1752F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219205>BR-1754R</a>,,,29000,27200
スバル,ステラ,LA160F,H26/12～H29/7,KF,4WD NA 前期/カスタム Rスマートアシスト,Fr：35～40mm<br>Rr：27～32mm,12760,,224105,ESF-2114-qq-e-f1-151,ESF-2114-qq-e-d-151,4.53619E+12,ESF-2114,ESPELIR,DOWNSUS,1台分,35～40/27～32,Fr：35～40mm<br>Rr：27～32mm,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217154>BR-1752F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215136>BR-1754R</a>,,,29000,27200
スバル,ステラ,LA160F,H26/12～H29/7,KF,4WD ターボ 前期/カスタム RSスマートアシスト,,12760,,226363,ESF-2115-qq-e-f1-152,ESF-2115-qq-e-d-152,4.53619E+12,ESF-2115,ESPELIR,DOWNSUS,1台分,35～40/27～32,,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213155>BR-1752F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214152>BR-1754R</a>,,,29000,27200
スバル,ステラ,LA160F,H29/8～,KF,4WD NA 後期/Gスマートアシスト/Lスマートアシスト/L,Fr：35～40mm<br>Rr：27～32mm,12760,,225271,ESF-3706-qq-e-f1-3636,ESF-3706-qq-e-d-3636,4.53619E+12,ESF-3706,ESPELIR,DOWNSUS,1台分,35～40/27～32,Fr：35～40mm<br>Rr：27～32mm,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213154>BR-1752F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216159>BR-1754R</a>,,,29000,27200
スバル,ステラ,LA160F,H29/8～,KF,4WD ターボ 後期/カスタム RSスマートアシスト,Fr：35～40mm<br>Rr：27～32mm,12760,,223763,ESF-3708-qq-e-f1-3638,ESF-3708-qq-e-d-3638,4.53619E+12,ESF-3708,ESPELIR,DOWNSUS,1台分,35～40/27～32,Fr：35～40mm<br>Rr：27～32mm,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214151>BR-1752F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213156>BR-1754R</a>,,,29000,27200
スバル,ディアスワゴン,S321N,H21/9～H29/10,KF,2WD ターボ/LS/RS/RSリミテッド,Fr：27～32mm<br>Rr：25～30mm,11000,,224837,ESF-2889-qq-e-f1-3299,ESF-2889-qq-e-d-3299,4.53619E+12,ESF-2889,ESPELIR,DOWNSUS,1台分,27～32/25～30,Fr：27～32mm<br>Rr：25～30mm,2.7/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217868>BR-1238F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214829>BR-1238R</a>,,,25000,25500
スバル,ディアスワゴン,S321N,H29/11～,KF,2WD ターボ/RS/RS リミテッド,Fr：22～27mm<br>Rr：22～27mm,11220,,225275,ESF-4169-qq-e-f1-4419,ESF-4169-qq-e-d-4419,4.53619E+12,ESF-4169,ESPELIR,DOWNSUS,1台分,22～27/22～27,Fr：22～27mm<br>Rr：22～27mm,2.7/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219327>BR-4168F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214968>BR-4168R</a>,,,25500,25800
スバル,ディアスワゴン,S331N,H21/9～H29/10,KF,4WD ターボ/LS/RS/RSリミテッド,,11000,,227139,ESF-2890-qq-e-f1-3300,ESF-2890-qq-e-d-3300,4.53619E+12,ESF-2890,ESPELIR,DOWNSUS,1台分,27～32/25～30,,2.7/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215815>BR-1238F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214830>BR-1238R</a>,,,25000,25500
スバル,ディアスワゴン,S331N,H29/11～,KF,4WD ターボ/RS/RS リミテッド,Fr：25～30mm<br>Rr：25～30mm,11220,,225276,ESF-4172-qq-e-f1-4422,ESF-4172-qq-e-d-4422,4.53619E+12,ESF-4172,ESPELIR,DOWNSUS,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,2.7/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217947>BR-4168F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220978>BR-4168R</a>,,,25500,25800
スバル,フォレスター,SJ5,H24/11～27/11,FB20,4WD 2.0L 6M/T車/A～C型/2.0i/2.0i-L,Fr：30～35mm<br>Rr：28～33mm,18480,,224284,ESF-3004-qq-e-f1-4117,ESF-3004-qq-e-d-4117,4.53619E+12,ESF-3004,ESPELIR,DOWNSUS,1台分,30～35/28～33,Fr：30～35mm<br>Rr：28～33mm,4.3/3.19,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217729>BR-2999F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213667>BR-2999R</a>,,,42000,35700
スバル,フォレスター,SJ5,H24/11～27/11,FB20,4WD 2.0L CVT車/A～C型/2.0i/2.0i-L,Fr：28～33mm<br>Rr：28～33mm,18480,,222675,ESF-3000-qq-e-f1-4113,ESF-3000-qq-e-d-4113,4.53619E+12,ESF-3000,ESPELIR,DOWNSUS,1台分,28～33/28～33,Fr：28～33mm<br>Rr：28～33mm,3.22/3.19,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217728>BR-2999F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218751>BR-2999R</a>,,,42000,35700
スバル,フォレスター,SJ5,H27/11～,FB20,4WD 2.0L 6M/T車/D型/2.0i,Fr：40～45mm<br>Rr：33～38mm,18480,,224939,ESF-3006-qq-e-f1-4119,ESF-3006-qq-e-d-4119,4.53619E+12,ESF-3006,ESPELIR,DOWNSUS,1台分,40～45/33～38,Fr：40～45mm<br>Rr：33～38mm,4.3/3.19,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215711>BR-2999F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215712>BR-2999R</a>,,,42000,35700
スバル,フォレスター,SJ5,H27/11～,FB20,4WD 2.0L CVT車/D型/2.0i/2.0i-L/Xブレイク/S-LTD,Fr：37～42mm<br>Rr：33～38mm,18480,,225032,ESF-3002-qq-e-f1-4115,ESF-3002-qq-e-d-4115,4.53619E+12,ESF-3002,ESPELIR,DOWNSUS,1台分,37～42/33～38,Fr：37～42mm<br>Rr：33～38mm,3.22/3.19,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213666>BR-2999F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219762>BR-2999R</a>,,,42000,35700
スバル,フォレスター,SJG,H24/11～27/11,FA20,4WD 2.0L CVT車/A～C型/2.0XT,Fr：37～42mm<br>Rr：37～42mm,18480,,222760,ESF-3008-qq-e-f1-4121,ESF-3008-qq-e-d-4121,4.53619E+12,ESF-3008,ESPELIR,DOWNSUS,1台分,37～42/37～42,Fr：37～42mm<br>Rr：37～42mm,3.22/3.19,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217730>BR-2999F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214733>BR-2999R</a>,,,42000,35700
スバル,プレオ,L275F,H22/4～,KF,2WD NA/F/L/Lリミテッド,,12672,,226362,ESF-2108-qq-e-f1-149,ESF-2108-qq-e-d-149,4.53619E+12,ESF-2108,ESPELIR,DOWNSUS,1台分,28～33/25～30,,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220914>BR-1242F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217873>BR-1242R</a>,,,28800,27100
スバル,プレオ,L275F,H22/4～25/2,KF,2WD NA/ターボ/カスタムR/カスタムRS,Fr：28～33mm<br>Rr：25～30mm,12672,,224835,ESF-2107-qq-e-f1-148,ESF-2107-qq-e-d-148,4.53619E+12,ESF-2107,ESPELIR,DOWNSUS,1台分,28～33/25～30,Fr：28～33mm<br>Rr：25～30mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213776>BR-1242F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215820>BR-1242R</a>,,,28800,27100
スバル,プレオ,L285F,H22/4～,KF-DET,4WD ターボ/カスタム RS,Fr：36～41mm<br>Rr：28～33mm,13200,,225596,ESF-2136-qq-e-f1-150,ESF-2136-qq-e-d-150,4.53619E+12,ESF-2136,ESPELIR,DOWNSUS,1台分,36～41/28～33,Fr：36～41mm<br>Rr：28～33mm,3月2日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220916>BR-1242F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218259>BR-1346R</a>,,,30000,27600
スバル,プレオ,L285F,H22/4～,KF-VE,4WD NA/カスタム NA,,12760,,225704,ESF-3080-qq-e-f1-3361,ESF-3080-qq-e-d-3361,4.53619E+12,ESF-3080,ESPELIR,DOWNSUS,1台分,30～35/20～25,,2.4/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220913>BR-1242F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220247>BR-1346R</a>,,,29000,27200
スバル,プレオバン,L275B,H22/4～,KF-VE,2WD NA/4ナンバーバン,Fr：28～33mm<br>Rr：25～30mm,11880,,223343,ESF-2117-qq-e-f1-147,ESF-2117-qq-e-d-147,4.53619E+12,ESF-2117,ESPELIR,DOWNSUS,1台分,28～33/25～30,Fr：28～33mm<br>Rr：25～30mm,2.4/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220915>BR-1242F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220918>BR-1242R</a>,,,27000,26400
スバル,プレオバン,L285B,H22/4～,KF-VE,4WD NA/4ナンバーバン,,12760,,227238,ESF-3078-qq-e-f1-3360,ESF-3078-qq-e-d-3360,4.53619E+12,ESF-3078,ESPELIR,DOWNSUS,1台分,30～35/20～25,,2.4/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216845>BR-1242F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218258>BR-1346R</a>,,,29000,27200
スバル,プレオプラス,LA300F,H24/12～25/8,KF,2WD E/F/L/G,Fr：30～35mm<br>Rr：27～32mm,11440,,221836,ESF-2106-qq-e-f1-143,ESF-2106-qq-e-d-143,4.53619E+12,ESF-2106,ESPELIR,DOWNSUS,1台分,30～35/27～32,Fr：30～35mm<br>Rr：27～32mm,2.2/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213774>BR-1240F</a><br>リア:設定なし,,,26000,26000
スバル,プレオプラス,LA300F,H25/8～,KF,2WD 後期/E/F/L/G スマートアシスト,Fr：30～35mm<br>Rr：27～32mm,11440,,224836,ESF-2111-qq-e-f1-145,ESF-2111-qq-e-d-145,4.53619E+12,ESF-2111,ESPELIR,DOWNSUS,1台分,30～35/27～32,Fr：30～35mm<br>Rr：27～32mm,2.2/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220911>BR-1240F</a><br>リア:設定なし,,,26000,26000
スバル,プレオプラス,LA310F,H24/12～25/8,KF,4WD FA/LA/GA,,13200,,226364,ESF-2130-qq-e-f1-144,ESF-2130-qq-e-d-144,4.53619E+12,ESF-2130,ESPELIR,DOWNSUS,1台分,28～33/28～33,,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215818>BR-1240F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213775>BR-1241R</a>,,,30000,30600
スバル,プレオプラス,LA310F,H25/8～,KF,4WD 後期/FA/LA/GA スマートアシスト,,13200,,226365,ESF-2133-qq-e-f1-146,ESF-2133-qq-e-d-146,4.53619E+12,ESF-2133,ESPELIR,DOWNSUS,1台分,28～33/28～33,,2.2/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218887>BR-1240F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217869>BR-1241R</a>,,,30000,30600
スバル,プレオプラス,LA360F,H29/5～,KF,4WD/F/G/L,Fr：27～32mm<br>Rr：15～20mm,12320,,224205,ESF-3356-qq-e-f1-4287,ESF-3356-qq-e-d-4287,4.53619E+12,ESF-3356,ESPELIR,DOWNSUS,1台分,27～32/15～20,Fr：27～32mm<br>Rr：15～20mm,2.9/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218309>BR-3353F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218310>BR-3355R</a>,,,28000,26800
スバル,ルクラ,L455F,H22/4～,KF-VE,2WD NA/L/Lリミテッド/Lスペシャル,Fr：37～42mm<br>Rr：35～40mm,12672,,224104,ESF-2105-qq-e-f1-141,ESF-2105-qq-e-d-141,4.53619E+12,ESF-2105,ESPELIR,DOWNSUS,1台分,37～42/35～40,Fr：37～42mm<br>Rr：35～40mm,2.2/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217372>BR-891F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214823>BR-1102R</a>,,,28800,27100
スバル,ルクラ,L455F,H22/4～,KF-VE/KF-DET,2WD NA カスタムR/カスタムRリミテッド/ターボ カスタムRS,Fr：32～37mm<br>Rr：32～37mm,12672,,222574,ESF-2122-qq-e-f1-142,ESF-2122-qq-e-d-142,4.53619E+12,ESF-2122,ESPELIR,DOWNSUS,1台分,32～37/32～37,Fr：32～37mm<br>Rr：32～37mm,3月3日,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220414>BR-891F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214824>BR-1102R</a>,,,28800,27100
スバル,レガシィB4,BM9,H21/5～H24/4,EJ25,4WD NA/2.5i Sパッケージ(ビルシュタイン装着車)/A～C型,Fr：20～25mm<br>Rr：13～18mm,19360,,223229,ESF-4551-qq-e-f1-4639,ESF-4551-qq-e-d-4639,4.53619E+12,ESF-4551,ESPELIR,DOWNSUS,1台分,20～25/13～18,Fr：20～25mm<br>Rr：13～18mm,4.05/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215513>BR-4551R</a>,,,44000,36500
スバル,レガシィB4,BM9,H21/5～H24/4,EJ25,4WD NA/2.5i/2.5i Lパッケージ/A～C型,Fr：28～33mm<br>Rr：20～25mm,19360,,224740,ESF-4554-qq-e-f1-4620,ESF-4554-qq-e-d-4620,4.53619E+12,ESF-4554,ESPELIR,DOWNSUS,1台分,28～33/20～25,Fr：28～33mm<br>Rr：20～25mm,4.05/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219564>BR-4553F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218551>BR-4551R</a>,,,44000,36500
スバル,レガシィB4,BM9,H21/5～H24/4,EJ25,4WD ターボ/2.5GT Lパッケージ/2.5GT Siクルーズ/A型,Fr：28～33mm<br>Rr：20～25mm,19360,,225517,ESF-4557-qq-e-f1-4623,ESF-4557-qq-e-d-4623,4.53619E+12,ESF-4557,ESPELIR,DOWNSUS,1台分,28～33/20～25,Fr：28～33mm<br>Rr：20～25mm,4.5/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216535>BR-4553F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216531>BR-4551R</a>,,,44000,36500
スバル,レガシィB4,BM9,H21/5～H24/4,EJ25,4WD ターボ/2.5GT Sパッケージ(ビルシュタイン装着車)/A型,Fr：20～25mm<br>Rr：13～18mm,19360,,224007,ESF-4552-qq-e-f1-4640,ESF-4552-qq-e-d-4640,4.53619E+12,ESF-4552,ESPELIR,DOWNSUS,1台分,20～25/13～18,Fr：20～25mm<br>Rr：13～18mm,4.05/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217514>BR-4551R</a>,,,44000,36500
スバル,レガシィB4,BM9,H21/5～H24/4,EJ25,4WD ターボ/2.5GT/A～C型,,19360,,226271,ESF-4560-qq-e-f1-4626,ESF-4560-qq-e-d-4626,4.53619E+12,ESF-4560,ESPELIR,DOWNSUS,1台分,28～33/20～25,,4.05/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217516>BR-4553F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215510>BR-4551R</a>,,,44000,36500
スバル,レガシィB4,BM9,H24/5～H26/9,EJ25,4WD ターボ/2.5GT アイサイト/D型,Fr：25～30mm<br>Rr：20～25mm,19360,,225519,ESF-4563-qq-e-f1-4629,ESF-4563-qq-e-d-4629,4.53619E+12,ESF-4563,ESPELIR,DOWNSUS,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,4.05/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214544>BR-4553F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216532>BR-4551R</a>,,,44000,36500
スバル,レガシィB4,BMG,H24/5～H26/9,FA20,4WD ターボ/2.0GT DIT/2.0GT DIT アイサイト/D型/E型<br>ビルシュタイン装着車,Fr：28～33mm<br>Rr：20～25mm,19360,,224742,ESF-4566-qq-e-f1-4642,ESF-4566-qq-e-d-4642,4.53619E+12,ESF-4566,ESPELIR,DOWNSUS,1台分,28～33/20～25,Fr：28～33mm<br>Rr：20～25mm,4.05/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:設定なし<br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218555>BR-4551R</a>,,,44000,36500
