トヨタ,ピクシスバン,S331M,H29/11～,KF,4WD NA/クルーズ/デラックス,,11880,,226115,EST-4240-qq-e-f1-4506,EST-4240-qq-e-d-4506,4536190142405,EST-4240,ESPELIR,Super DOWNSUS Type2,1台分,45～50/42～47,,3.5/4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219981>BR-4230F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220813>BR-4230R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,27000,26400
トヨタ,ピクシスバン,S331M,H29/11～,KF,4WD NA/スペシャルクリーン(標準ルーフ含む),Fr：45～50mm<br>Rr：42～47mm,11880,,221797,EST-4250-qq-e-f1-4516,EST-4250-qq-e-d-4516,4536190142504,EST-4250,ESPELIR,Super DOWNSUS Type2,1台分,45～50/42～47,Fr：45～50mm<br>Rr：42～47mm,3.5/4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215965>BR-4230F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215751>BR-4230R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,27000,26400
トヨタ,ピクシスバン,S331M,H29/11～,KF,4WD ターボ/クルーズ,Fr：45～50mm<br>Rr：45～50mm,11880,,223200,EST-4243-qq-e-f1-4509,EST-4243-qq-e-d-4509,4536190142436,EST-4243,ESPELIR,Super DOWNSUS Type2,1台分,45～50/45～50,Fr：45～50mm<br>Rr：45～50mm,3.5/4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218986>BR-4230F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216788>BR-4230R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,27000,26400
トヨタ,ピクシスメガ,LA700A,H27/7～,KF,2WD NA/L/L SA/D/D SA,,13640,,226984,EST-2373-qq-e-f1-5192,EST-2373-qq-e-d-5192,4536190123732,EST-2373,ESPELIR,Super DOWNSUS Type2,1台分,50～55/40～45,,4/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220113>BR-2371F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,31000,28100
トヨタ,ピクシスメガ,LA700A,H27/7～,KF,2WD ターボ/G/G SA/X/X SA,Fr：50～55mm<br>Rr：40～45mm,13640,,222420,EST-2376-qq-e-f1-5194,EST-2376-qq-e-d-5194,4536190123763,EST-2376,ESPELIR,Super DOWNSUS Type2,1台分,50～55/40～45,Fr：50～55mm<br>Rr：40～45mm,4/3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213188>BR-2371F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,31000,28100
トヨタ,プリウス,ZVW30,H21/5～23/12,2ZR-FXE+モーター,G/S/L/前期型/純正15インチ装着車,Fr：47～52mm<br>Rr：50～55mm,17600,,222540,EST-3289-qq-e-f1-5777,EST-3289-qq-e-d-5777,4536190132895,EST-3289,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,Fr：47～52mm<br>Rr：50～55mm,2.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219407>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,40000,31800
トヨタ,プリウス,ZVW30,H21/5～23/12,2ZR-FXE+モーター,G/Sツーリングセレクション 前期型/純正17インチ装着車,,17600,,226223,EST-3290-qq-e-f1-5778,EST-3290-qq-e-d-5778,4536190132901,EST-3290,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,,2.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218393>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,40000,31800
トヨタ,プリウス,ZVW30,H21/5～23/12,2ZR-FXE+モーター,ソーラーパネル&ムーンルーフ装着車 前期型,Fr：47～52mm<br>Rr：50～55mm,17600,,222541,EST-3290-qq-e-f1-5779,EST-3290-qq-e-d-5779,4536190132901,EST-3290,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,Fr：47～52mm<br>Rr：50～55mm,2.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218394>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,40000,31800
トヨタ,プリウス,ZVW30,H23/12～,2ZR-FXE+モーター,G/S 後期型/純正15インチ装着車,,17600,,227109,EST-3291-qq-e-f1-5781,EST-3291-qq-e-d-5781,4536190132918,EST-3291,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,,2.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219408>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,40000,31800
トヨタ,プリウス,ZVW30,H23/12～,2ZR-FXE+モーター,G/Sツーリングセレクション 後期型/純正17インチ装着車,,17600,,227108,EST-3291-qq-e-f1-5780,EST-3291-qq-e-d-5780,4536190132918,EST-3291,ESPELIR,Super DOWNSUS Type2,1台分,47～52/50～55,,2.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218395>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,40000,31800
トヨタ,プリウスG's,ZVW30,H23/12～27/11,2ZR-FXE+モーター,1.8SツーリングセレクションG's,Fr：22～27mm<br>Rr：20～25mm,17600,,224824,EST-4860-qq-e-f1-5783,EST-4860-qq-e-d-5783,4536190148605,EST-4860,ESPELIR,Super DOWNSUS Type2,1台分,22～27/20～25,Fr：22～27mm<br>Rr：20～25mm,2.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218396>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,40000,31800
トヨタ,プリウスα,ZVW40W,H23/5～26/10,2ZR-5JM,前期型 7人乗車 全車,,18480,,226207,EST-1839-qq-e-f1-842,EST-1839-qq-e-d-842,4536190118394,EST-1839,ESPELIR,Super DOWNSUS Type2,1台分,42～47/42～47,,3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214363>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,42000,32700
トヨタ,プリウスα,ZVW41W,H23/5～26/10,2ZR-5JM,前期型 5人乗車 全車,Fr：42～47mm<br>Rr：42～47mm,18480,,225448,EST-1838-qq-e-f1-839,EST-1838-qq-e-d-839,4536190118387,EST-1838,ESPELIR,Super DOWNSUS Type2,1台分,42～47/42～47,Fr：42～47mm<br>Rr：42～47mm,3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219406>BR-875F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,42000,32700
トヨタ,プレミオ,NZT260,H28/6～,1NZ-FE,2WD 1.5L 後期,,16280,,227194,EST-2589-qq-e-f1-5234,EST-2589-qq-e-d-5234,4536190125897,EST-2589,ESPELIR,Super DOWNSUS Type2,1台分,47～52/42～47,,3.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217191>BR-2588F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,37000,30600
トヨタ,プレミオ,ZRT260,H19/6～H28/6,2ZR-FE,2WD 1.8L 前期,Fr：53～58mm<br>Rr：42～47mm,16720,,223391,EST-2595-qq-e-f1-5734,EST-2595-qq-e-d-5734,4536190125958,EST-2595,ESPELIR,Super DOWNSUS Type2,1台分,53～58/42～47,Fr：53～58mm<br>Rr：42～47mm,3/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214614>BR-822F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,38000,31000
トヨタ,プレミオ,ZRT260,H28/6～,2ZR-FAE,2WD 1.8L 後期,,16280,,227196,EST-2591-qq-e-f1-5238,EST-2591-qq-e-d-5238,4536190125910,EST-2591,ESPELIR,Super DOWNSUS Type2,1台分,47～52/42～47,,3.3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218212>BR-2588F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,37000,30600
トヨタ,プレミオ,ZRT261,H20/1～H28/6,3ZR-FE,2WD 2.0L/G 前期,Fr：53～58mm<br>Rr：42～47mm,16720,,223392,EST-2596-qq-e-f1-5736,EST-2596-qq-e-d-5736,4536190125965,EST-2596,ESPELIR,Super DOWNSUS Type2,1台分,53～58/42～47,Fr：53～58mm<br>Rr：42～47mm,3/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214615>BR-822F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,38000,31000
トヨタ,プレミオ,ZRT261,H28/6～,3ZR-FAE,2WD 2.0L 後期,Fr：47～52mm<br>Rr：42～47mm,17160,,224159,EST-2593-qq-e-f1-5242,EST-2593-qq-e-d-5242,4536190125934,EST-2593,ESPELIR,Super DOWNSUS Type2,1台分,47～52/42～47,Fr：47～52mm<br>Rr：42～47mm,3/2.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220211>BR-2588F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,39000,31400
トヨタ,プロボックス,NCP55V/NCP59G,H14/7～H26/8,1NZ-FE,4WD 1.5L バン/ワゴン,Fr：50～55mm<br>Rr：57～62mm,18480,,222139,EST-2445-qq-e-f1-5548,EST-2445-qq-e-d-5548,4536190124456,EST-2445,ESPELIR,Super DOWNSUS Type2,1台分,50～55/57～62,Fr：50～55mm<br>Rr：57～62mm,3/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215493>BR-415F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,42000,32700
トヨタ,プロボックス,NCP58G,H14/7～H26/8,1NZ-FE,2WD 1.5L ワゴン,Fr：50～55mm<br>Rr：52～57mm,18480,,225080,EST-2444-qq-e-f1-5545,EST-2444-qq-e-d-5545,4536190124449,EST-2444,ESPELIR,Super DOWNSUS Type2,1台分,50～55/52～57,Fr：50～55mm<br>Rr：52～57mm,3/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213465>BR-415F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,42000,32700
トヨタ,プロボックス,NLP51V,H14/7～H20/7,1ND-TV,2WD 1.4L ディーゼルターボ,,18480,,225824,EST-2553-qq-e-f1-5560,EST-2553-qq-e-d-5560,4536190125538,EST-2553,ESPELIR,Super DOWNSUS Type2,1台分,50～55/47～52,,3/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213467>BR-415F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高を確保出来ない為保安基準に抵触します,42000,32700
トヨタ,プロボックスバン,NCP50V/NCP51V,H14/7～H26/8,2NZ-FE/1NZ-FE,2WD 1.3L/1.5L VAN,Fr：50～55mm<br>Rr：52～57mm,18480,,222138,EST-2444-qq-e-f1-5546,EST-2444-qq-e-d-5546,4536190124449,EST-2444,ESPELIR,Super DOWNSUS Type2,1台分,50～55/52～57,Fr：50～55mm<br>Rr：52～57mm,3/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214512>BR-415F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,42000,32700
トヨタ,マークXジオ,ANA10,H19/9～25/11,2AZ-FE,2WD 2.4L 240/240F 7人乗,Fr：47～52mm<br>Rr：40～45mm,18920,,221790,EST-3292-qq-e-f1-5017,EST-3292-qq-e-d-5017,4536190132925,EST-3292,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,2.9/5.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215107>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,43000,33100
トヨタ,マークXジオ,ANA10,H19/9～25/11,2AZ-FE,2WD 2.4L 240G 6人乗,,18920,,226336,EST-3293-qq-e-f1-5018,EST-3293-qq-e-d-5018,4536190132932,EST-3293,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,2.9/5.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213123>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,43000,33100
トヨタ,マークXジオ,ANA10,H19/9～25/11,2AZ-FE,2WD 2.4L 240G 7人乗,,18920,,226108,EST-3294-qq-e-f1-5019,EST-3294-qq-e-d-5019,4536190132949,EST-3294,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,2.9/5.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213124>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,43000,33100
トヨタ,マークXジオ,ANA10,H20/8～21/2,2AZ-FE,2WD 2.4L 240G ブラックパールリミテッド,Fr：47～52mm<br>Rr：40～45mm,18920,,225355,EST-3295-qq-e-f1-5021,EST-3295-qq-e-d-5021,4536190132956,EST-3295,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,2.9/5.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214124>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,43000,33100
トヨタ,マークXジオ,ANA10,H22/8～25/11,2AZ-FE,2WD 2.4L 240G 純正16インチ 7人乗,Fr：47～52mm<br>Rr：40～45mm,18920,,224579,EST-3294-qq-e-f1-5020,EST-3294-qq-e-d-5020,4536190132949,EST-3294,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,2.9/5.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216131>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,43000,33100
トヨタ,マークXジオ,GGA10,H19/9～25/11,2GR-FE,2WD 3.5L 350G,,18920,,226109,EST-3296-qq-e-f1-5022,EST-3296-qq-e-d-5022,4536190132963,EST-3296,ESPELIR,Super DOWNSUS Type2,1台分,52～57/40～45,,2.9/5.8,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215108>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,43000,33100
トヨタ,マークXジオ エアリアル,ANA10,H21/2～25/11,2AZ-FE,2WD 2.4L/エアリアル 6人乗,,18920,,226110,EST-3311-qq-e-f1-5023,EST-3311-qq-e-d-5023,4536190133113,EST-3311,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,3.3/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216132>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,43000,33100
トヨタ,マークXジオ エアリアル,ANA10,H21/2～25/11,2AZ-FE,2WD 2.4L/エアリアル 7人乗,Fr：47～52mm<br>Rr：40～45mm,18920,,221690,EST-3312-qq-e-f1-5024,EST-3312-qq-e-d-5024,4536190133120,EST-3312,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,3.3/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217121>BR-1194F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,43000,33100
トヨタ,ルーミー,M900A,H28/11～,1KR-FE,2WD NA 1.0L/G/G S/X/X S,Fr：55～60mm<br>Rr：50～55mm,15840,,222424,EST-2916-qq-e-f1-3948,EST-2916-qq-e-d-3948,4536190129161,EST-2916,ESPELIR,Super DOWNSUS Type2,1台分,55～60/50～55,Fr：55～60mm<br>Rr：50～55mm,3.3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217720>BR-2686F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215699>BR-2686R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,36000,30200
トヨタ,ルーミー,M900A,H28/11～,1KR-FE,2WD NA 1.0L/カスタムG/カスタムG S,Fr：55～60mm<br>Rr：50～55mm,15840,,225457,EST-2918-qq-e-f1-3950,EST-2918-qq-e-d-3950,4536190129185,EST-2918,ESPELIR,Super DOWNSUS Type2,1台分,55～60/50～55,Fr：55～60mm<br>Rr：50～55mm,3.3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219740>BR-2686F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218746>BR-2686R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,36000,30200
トヨタ,ルーミー,M900A,H28/11～,1KR-VET,2WD ターボ 1.0L/G-T,,15840,,226218,EST-2917-qq-e-f1-3949,EST-2917-qq-e-d-3949,4536190129178,EST-2917,ESPELIR,Super DOWNSUS Type2,1台分,55～60/50～55,,3.3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219739>BR-2686F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214718>BR-2686R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,36000,30200
トヨタ,ルーミー,M900A,H28/11～,1KR-VET,2WD ターボ 1.0L/カスタムG-T,,15840,,226219,EST-2919-qq-e-f1-3951,EST-2919-qq-e-d-3951,4536190129192,EST-2919,ESPELIR,Super DOWNSUS Type2,1台分,55～60/50～55,,3.3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219741>BR-2686F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220750>BR-2686R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,36000,30200
日産,AD,VY12,H20/12～H25/5,HR15DE,2WD 1.5L/DX/VE,Fr：50～55mm<br>Rr：50～55mm,19360,,224023,ESN-4323-qq-e-f1-4560,出さない,4536190143235,ESN-4323,ESPELIR,Super DOWNSUS Type2,1台分,50～55/50～55,Fr：50～55mm<br>Rr：50～55mm,2.13/5.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217507>BR-4319F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213914>BR-4319R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,44000,出さない
日産,ADエキスパート,VJY12,H20/12～H25/5,MR18DE,2WD 1.8L/LX/VX,Fr：50～55mm<br>Rr：50～55mm,19360,,221739,ESN-4335-qq-e-f1-4571,出さない,4536190143358,ESN-4335,ESPELIR,Super DOWNSUS Type2,1台分,50～55/50～55,Fr：50～55mm<br>Rr：50～55mm,2.13/5.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217784>BR-4326F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216800>BR-4326R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,44000,出さない
日産,ADエキスパート,VY12,H20/12～H25/5,HR15DE,2WD 1.5L/GX,Fr：50～55mm<br>Rr：50～55mm,19360,,223259,ESN-4329-qq-e-f1-4566,出さない,4536190143297,ESN-4329,ESPELIR,Super DOWNSUS Type2,1台分,50～55/50～55,Fr：50～55mm<br>Rr：50～55mm,2.13/5.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213928>BR-4326F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220831>BR-4326R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,44000,出さない
日産,NV100クリッパー,DR17V,H27/3～,R06A,2WD/GX ターボ/GX/DX・GLパッケージ/DX,Fr：43～48mm<br>Rr：33～38mm,12320,,225534,ESN-2186-qq-e-f1-3687,ESN-2186-qq-e-d-3687,4536190121868,ESN-2186,ESPELIR,Super DOWNSUS Type2,1台分,43～48/33～38,Fr：43～48mm<br>Rr：33～38mm,3.2/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219297>BR-1765F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217445>BR-1765R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,28000,26800
日産,NV100クリッパー,DR17V,H27/3～,R06A,4WD/GX ターボ/GX/DX・GLパッケージ/DX,Fr：43～48mm<br>Rr：33～38mm,12320,,223246,ESN-2190-qq-e-f1-3688,ESN-2190-qq-e-d-3688,4536190121905,ESN-2190,ESPELIR,Super DOWNSUS Type2,1台分,43～48/33～38,Fr：43～48mm<br>Rr：33～38mm,3.2/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218298>BR-1765F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214453>BR-1765R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,灯火類の高さが保安基準に抵触します,28000,26800
