自動車メーカー,車種,型式,エンジン型式,年式,適合詳細,ダウン量,バネレート【F/R】,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,注意事項,定価,送料,SET価格
トヨタ,アルファード,GGH30W,2GR-FE,15/1～,2WD 3.5L,Fr：30～35mm<br>Rr：30～35mm,3.1/6.3,,30676,,260854,BT154A-qq-e-13k,BT154A-qq-e-d-13k,BT154A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,31000,1000,44500
トヨタ,アルファード,MNH10W,1MZ‐FE,02/5～08/5,2WD 3.0L,Fr：30～40mm<br>Rr：30～40mm,3.5/6.4,,27918,,260702,BT049A-qq-e-88,BT049A-qq-e-d-88,BT049A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,28000,1000,41600
トヨタ,アルファード,MNH15W,1MZ-FE,02/5～08/5,4WD 3.0L,Fr：30～40mm<br>Rr：30～40mm,3.5/6.4,,27918,,260732,BT067A-qq-e-93,BT067A-qq-e-d-93,BT067A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,28000,1000,41600
トヨタ,アルファードハイブリッド,ATH20W,2AZ-FXE,11/11～,4WD 2.4L,Fr：30～35mm<br>Rr：30～35mm,3.0/7.7,,30676,,260761,BT086A-qq-e-94,BT086A-qq-e-d-94,BT086A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,31000,1000,44500
トヨタ,アルファードハイブリッド,AYH30W,2AR-FXE,15/1～,2WD,Fr：30～35mm<br>Rr：30～35mm,3.1/6.3,,30676,,260855,BT155A-qq-e-14k,BT155A-qq-e-d-14k,BT155A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,31000,1000,44500
トヨタ,アレックス/カローラランクス,ZZE122,1ZZ-FE,01/1～04/3,2WD 1.8L,Fr：35～40mm<br>Rr：35～40mm,3.0/2.7,バンプラバーカット,23320,,260686,BT035A-qq-e-95,BT035A-qq-e-d-95,BT035A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,23000,1000,36900
トヨタ,アレックス/カローラランクス,ZZE123,2ZZ-GE,01/1～06/9,2WD 1.8L エアロツアラー前期,Fr：35～40mm<br>Rr：35～40mm,2.9/2.9,,21940,,260689,BT035D-qq-e-97,BT035D-qq-e-d-97,BT035D,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,21500,1000,35500
トヨタ,アレックス/カローラランクス,ZZE123,2ZZ-GE,06/4～08/9,2WD 1.8L エアロツアラー後期,Fr：35～40mm<br>Rr：35～40mm,3.0/2.9,,21940,,260688,BT035C-qq-e-96,BT035C-qq-e-d-96,BT035C,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,21500,1000,35500
トヨタ,イスト,NCP110,1NZ-FE,07/7～,2WD 1.5L,Fr：25～30mm<br>Rr：25～30mm,2.2/2.4,,22400,,260764,BT089A-qq-e-100,BT089A-qq-e-d-100,BT089A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,22000,1000,35900
トヨタ,イスト,NCP60/NCP61,1NZ-FE/2NZ-FE,02/5～07/7,2WD,Fr：35～40mm<br>Rr：35～40mm,3.1/2.8,バンプラバーカット,23779,,260781,BT109C-qq-e-99,BT109C-qq-e-d-99,BT109C,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,23500,1000,37400
トヨタ,イスト,NCP65,1GG-FE,02/5～07/7,4WD,Fr：40～45mm<br>Rr：40～45mm,3.1/2.3,,22400,,260728,BT065A-qq-e-98,BT065A-qq-e-d-98,BT065A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,22000,1000,35900
トヨタ,イプサム,ACM21W,2AZ-FE,01/5～09/12,2WD TEMS共通,Fr：35～45mm<br>Rr：35～45mm,3.0/4.2,バンプラバーカット,25619,,260679,BT033A-qq-e-101,BT033A-qq-e-d-101,BT033A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,25500,1000,39300
トヨタ,イプサム,ACM26W,2AZ-FE,01/5～09/12,4WD TEMS共通,Fr：35～45mm<br>Rr：35～45mm,3.0/4.2,,25619,,260733,BT068A-qq-e-102,BT068A-qq-e-d-102,BT068A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,25500,1000,39300
トヨタ,ヴァンガード,ACA33W,2AZ-FE,07/8～,4WD 2.4L 5人乗り,Fr：35～40mm<br>Rr：35～40mm,3.0/7.1,,27918,,260756,BT082A-qq-e-103,BT082A-qq-e-d-103,BT082A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,28000,1000,41600
トヨタ,ヴァンガード,ACA38W,2AZ-FE,10/2～,2WD 2.4L 7人乗り,Fr：40～45mm<br>Rr：40～45mm,3.0/7.0,,27918,,260757,BT083A-qq-e-104,BT083A-qq-e-d-104,BT083A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,28000,1000,41600
トヨタ,ウィッシュ,ANE10W,1ZA-FSE,03/2～09/4,2WD 2.0L Gバージョン,Fr：30～40mm<br>Rr：30～40mm,2.9/4.8,,24239,,260930,BT042A-qq-e-108,BT042A-qq-e-d-108,BT042A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,24000,1000,42800
トヨタ,ウィッシュ,ANE11W,1AZ-FSE,03/3～09/4,2WD 2.0L Zバージョン,Fr：35～45mm<br>Rr：35～45mm,3.0/8.4,バンプラバーカット,24699,,260931,BT043A-qq-e-106,BT043A-qq-e-d-106,BT043A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,24500,1000,43300
トヨタ,ウィッシュ,ZGE20W,2ZR-FAE,09/4～,2WD 1.8L 1.8S,Fr：35～40mm<br>Rr：35～40mm,3.0/4.8,,24699,,260735,BT070A-qq-e-110,BT070A-qq-e-d-110,BT070A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,24500,1000,38300
トヨタ,ウィッシュ,ZGE22W,3ZR-FAE,09/4～,2WD 2.0L 2.0Z 6人乗り,Fr：30～35mm<br>Rr：30～35mm,3.1/8.2,,24699,,260711,BT055A-qq-e-107,BT055A-qq-e-d-107,BT055A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,24500,1000,38300
トヨタ,ウィッシュ,ZNE10G,1ZZ-FE,03/1～09/4,2WD 1.8L用 前後期共通,Fr：30～40mm<br>Rr：30～40mm,2.9/4.8,バンプラバーカット,24239,,260929,BT042A-qq-e-105,BT042A-qq-e-d-105,BT042A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,24000,1000,42800
トヨタ,ウィッシュ,ZNE14G,1NZ-FE,03/2～09/4,4WD 1.8L 前後期共通,Fr：30～40mm<br>Rr：30～40mm,3.0/8.4,,24699,,260932,BT043A-qq-e-109,BT043A-qq-e-d-109,BT043A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,24500,1000,43300
トヨタ,ヴィッツ,KSP90,1KR-FE,05/2～10/11,2WD 1.0L,Fr：30～35mm<br>Rr：30～35mm,2.2/2.5,,23320,,260695,BT045C-qq-e-113,BT045C-qq-e-d-113,BT045C,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,23000,1000,36900
トヨタ,ヴィッツ,NCP10,2NZ-FE,99/1～05/1,2WD 1.3L ユーロスポーツ適用可,Fr：30～35mm<br>Rr：30～35mm,2.3/2.5,バンプラバーカット,21480,,260778,BT109B-qq-e-117,BT109B-qq-e-d-117,BT109B,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,21000,1000,35000
トヨタ,ヴィッツ,NCP13,1NZ-FE,99/1～05/1,2WD 1.5L RS ユーロスポーツ適用可,Fr：20～25mm<br>Rr：20～25mm,3.2/2.5,バンプラバーカット,23779,,260779,BT109C-qq-e-118,BT109C-qq-e-d-118,BT109C,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,23500,1000,37400
トヨタ,ヴィッツ,NCP15,2NZ-FE,99/8～05/1,4WD,Fr：40～45mm<br>Rr：40～45mm,3.0/2.4,,23320,,260670,BT022A-qq-e-111,BT022A-qq-e-d-111,BT022A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,23000,1000,36900
トヨタ,ヴィッツ,NCP91,1NZ-FE,05/2～10/11,2WD 1.5L X,Fr：20～30mm<br>Rr：20～30mm,2.2/2.5,,23320,,260697,BT045E-qq-e-115,BT045E-qq-e-d-115,BT045E,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,23000,1000,36900
トヨタ,ヴィッツ,NCP95,2NZ-FE,05/2～10/11,4WD 1.3L,Fr：30～35mm<br>Rr：30～35mm,2.2/2.5,,21940,,260696,BT045D-qq-e-114,BT045D-qq-e-d-114,BT045D,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,21500,1000,35500
トヨタ,ヴィッツ,NSP130,1NR-FE,10/12～,2WD 1.3L,Fr：30～35mm<br>Rr：30～35mm,2.3/2.5,,22860,,260759,BT085A-qq-e-119,BT085A-qq-e-d-119,BT085A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,22500,1000,36400
