トヨタ,マークII/クレスタ/チェイサー,JZX100,,4WD車取付不可,Type-1,113885,105021,243275,FK-COMP-qq-e-h-26k,FK-COMP-qq-e-d-h-26k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,マークII/クレスタ/チェイサー,JZX100,,4WD車取付不可,Type-2,113885,105021,243281,FK-COMP-qq-e-h-81k,FK-COMP-qq-e-d-h-81k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,マークII/クレスタ/チェイサー,JZX90,,4WD車取付不可,Type-1,113885,105021,242770,FK-COMP-qq-e-h-25k,FK-COMP-qq-e-d-h-25k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,マークII/クレスタ/チェイサー,JZX90,,4WD車取付不可,Type-2,113885,105021,243280,FK-COMP-qq-e-h-80k,FK-COMP-qq-e-d-h-80k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,マークX,GRX120,,4WD車取付不可,Type-2,113885,105021,242615,FK-COMP-qq-e-h-84k,FK-COMP-qq-e-d-h-84k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,マークX,GRX120,,4WD車取付不可,Type-1,113885,105021,242951,FK-COMP-qq-e-h-29k,FK-COMP-qq-e-d-h-29k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,マークX,GRX130,,4WD車取付不可,Type-2,113885,105021,242783,FK-COMP-qq-e-h-85k,FK-COMP-qq-e-d-h-85k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
トヨタ,マークX,GRX130,,4WD車取付不可,Type-1,113885,105021,242952,FK-COMP-qq-e-h-30k,FK-COMP-qq-e-d-h-30k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
日産,180SX,RPS13,,4WD車取付不可,Type-1,111226,102362,243135,FK-COMP-qq-e-h-39k,FK-COMP-qq-e-d-h-39k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000,,,,,
日産,シルビア,S13,,4WD車取付不可,Type-1,111226,102362,242954,FK-COMP-qq-e-h-36k,FK-COMP-qq-e-d-h-36k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000,,,,,
日産,シルビア,S14,,4WD車取付不可,Type-1,111226,102362,243277,FK-COMP-qq-e-h-37k,FK-COMP-qq-e-d-h-37k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000,,,,,
日産,シルビア,S15,,4WD車取付不可,Type-1,111226,102362,243134,FK-COMP-qq-e-h-38k,FK-COMP-qq-e-d-h-38k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000,,,,,
日産,スカイライン,BCNR33/BNR34,,4WD車取付不可,Type-1,113885,105021,242776,FK-COMP-qq-e-h-49k,FK-COMP-qq-e-d-h-49k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,10/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
日産,スカイライン,BNR32,,4WD車取付不可,Type-1,113885,105021,242957,FK-COMP-qq-e-h-46k,FK-COMP-qq-e-d-h-46k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,10/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
日産,スカイライン,R32,,4WD車取付不可,Type-1,111226,102362,242956,FK-COMP-qq-e-h-45k,FK-COMP-qq-e-d-h-45k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000,,,,,
日産,スカイライン,R33,,4WD車取付不可,Type-1,111226,102362,242486,FK-COMP-qq-e-h-47km/FK-COMP-qq-e-h-47kk,FK-COMP-qq-e-d-h-47km/FK-COMP-qq-e-d-h-47kk,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,リアブラケット丸型・コの字型をご指定下さい,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000,,リアブラケット,2,FK-COMP-qq-e-h-47k,FK-COMP-qq-e-d-h-47k
日産,スカイライン,R34,,4WD車取付不可,Type-1,111226,102362,242535,FK-COMP-qq-e-h-48km/FK-COMP-qq-e-h-48kk,FK-COMP-qq-e-d-h-48km/FK-COMP-qq-e-d-h-48kk,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,リアブラケット丸型・コの字型をご指定下さい,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000,,リアブラケット,2,FK-COMP-qq-e-h-48k,FK-COMP-qq-e-d-h-48k
日産,スカイライン,V35,,2DR/4DR<br>4WD車取付不可,Type-1,113885,105021,243136,FK-COMP-qq-e-h-50k,FK-COMP-qq-e-d-h-50k,FINAL KONNEXION,STEALTH Complete,固定式/別体式,正立式/正立式,12/9,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
日産,ステージア,WGC34,,2WD,Type-1,113885,105021,242958,FK-COMP-qq-e-h-51k,FK-COMP-qq-e-d-h-51k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,,,,
日産,ステージア,WGNC34,,4WD,Type-1,113885,105021,242511,FK-COMP-qq-e-h-52km/FK-COMP-qq-e-h-52kk,FK-COMP-qq-e-d-h-52km/FK-COMP-qq-e-d-h-52kk,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,リアブラケット丸型・コの字型をご指定下さい,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700,,リアブラケット,2,FK-COMP-qq-e-h-52k,FK-COMP-qq-e-d-h-52k
日産,セフィーロ,A31,,4WD車取付不可,Type-1,111226,102362,242605,FK-COMP-qq-e-h-44k,FK-COMP-qq-e-d-h-44k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000
日産,フーガ,Y50,,4WD車取付不可,Type-1,113885,105021,242777,FK-COMP-qq-e-h-53k,FK-COMP-qq-e-d-h-53k,FINAL KONNEXION,STEALTH Complete,固定式/別体式,正立式/正立式,12/9,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
日産,フェアレディZ,Z33,,4WD車取付不可,Type-1,113885,105021,242606,FK-COMP-qq-e-h-54k,FK-COMP-qq-e-d-h-54k,FINAL KONNEXION,STEALTH Complete,固定式/別体式,正立式/正立式,12/9,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
日産,ローレル,C33,,4WD車取付不可,Type-1,111226,102362,242773,FK-COMP-qq-e-h-40k,FK-COMP-qq-e-d-h-40k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000
日産,ローレル,C34,,4WD車取付不可,Type-1,111226,102362,242774,FK-COMP-qq-e-h-41k,FK-COMP-qq-e-d-h-41k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000
日産,ローレル,C35,,2WD,Type-1,111226,102362,242775,FK-COMP-qq-e-h-42k,FK-COMP-qq-e-d-h-42k,FINAL KONNEXION,STEALTH Complete,調整式/固定式,倒立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000
日産,ローレル,C35,,4WD,Type-1,111226,102362,242955,FK-COMP-qq-e-h-43k,FK-COMP-qq-e-d-h-43k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,120000,2000,125000,116000
ホンダ,シビック,EG6,,4WD車取付不可,Type-1,113885,105021,242960,FK-COMP-qq-e-h-60k,FK-COMP-qq-e-d-h-60k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,10/6,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
ホンダ,シビック,EK9,,4WD車取付不可,Type-1,113885,105021,242961,FK-COMP-qq-e-h-61k,FK-COMP-qq-e-d-h-61k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/7,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
マツダ,RX-7,FD3S,,4WD車取付不可,Type-1,113885,105021,242609,FK-COMP-qq-e-h-62k,FK-COMP-qq-e-d-h-62k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/12,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
マツダ,RX-7,FD3S,,4WD車取付不可,Type-2,113885,105021,242618,FK-COMP-qq-e-h-90k,FK-COMP-qq-e-d-h-90k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/12,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
レクサス,GS350/GS430,GRS191/UZS190,,4WD車取付不可,Type-1,122748,113885,242604,FK-COMP-qq-e-h-33k,FK-COMP-qq-e-d-h-33k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
レクサス,GS350/GS430,GRS191/UZS190,,4WD車取付不可,Type-2,122748,113885,243143,FK-COMP-qq-e-h-88k,FK-COMP-qq-e-d-h-88k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
レクサス,IS F,USE20,,4WD車取付不可,Type-2,122748,113885,242616,FK-COMP-qq-e-h-87k,FK-COMP-qq-e-d-h-87k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
レクサス,IS F,USE20,,4WD車取付不可,Type-1,122748,113885,242772,FK-COMP-qq-e-h-32k,FK-COMP-qq-e-d-h-32k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
レクサス,IS250/IS350,GSE20/GSE21,,4WD車取付不可,Type-2,122748,113885,243142,FK-COMP-qq-e-h-86k,FK-COMP-qq-e-d-h-86k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
レクサス,IS250/IS350,GSE20/GSE21,,4WD車取付不可,Type-1,122748,113885,243276,FK-COMP-qq-e-h-31k,FK-COMP-qq-e-d-h-31k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,12/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
レクサス,LS460,USF40,,4WD車取付不可<br>エアサス車取付可,Type-1,122748,113885,243133,FK-COMP-qq-e-h-35k,FK-COMP-qq-e-d-h-35k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/9,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,161700,152700
レクサス,SC430,UZZ40,,4WD車取付不可,Type-1,122748,113885,242953,FK-COMP-qq-e-h-34k,FK-COMP-qq-e-d-h-34k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
レクサス,SC430,UZZ40,,4WD車取付不可,Type-2,122748,113885,242965,FK-COMP-qq-e-h-89k,FK-COMP-qq-e-d-h-89k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,133000,2000,136700,127700
