自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,調整範囲,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,マウント(F/R),レート(F/R),自由長(F/R),スプリング(F/R),車高調整範囲(Fmm<br>Rr：R),リア減衰ダイヤル 位置,付属延長ダイヤル,付属スタビリンク,B.R.A.I.N接続,備考,注意事項,定価,SET価格
スズキ,ワゴンRスティングレー,MH23S,08/09～12/09,K6A,ターボ/NA共通<br>2WD/4WD共通,Fr：-75～0mm<br>Rr：-50～-30mm,84081,,239885,92469-qq-e-758,92469-qq-e-d-758,4959094924692,92469,BLITZ,DAMPER ZZ-R,強化ゴム/強化ゴム,5.0/2.5,180/120,ID62ストレート/樽型orテーパー型(専用形状),-75～0mm<br>Rr：-50～-30,タイヤハウス内(円盤型),-,固定式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,150000,102000
スズキ,ワゴンRスティングレー,MH34S,12/09～14/08,R06A,ターボ/NA共通<br>2WD/4WD共通,Fr：-85～0mm<br>Rr：-50～-30mm,84081,,239972,92494-qq-e-760,92494-qq-e-d-760,4959094924944,92494,BLITZ,DAMPER ZZ-R,純正/強化ゴム,4.0/2.5,180/140,ID62ストレート/樽型orテーパー型(専用形状),-85～0mm<br>Rr：-50～-30,タイヤハウス内(円盤型),-,固定式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,150000,102000
スズキ,ワゴンRスティングレー,MH34S/MH44S,14/08～17/02,R06A,ターボ/NA共通<br>2WD/4WD共通,Fr：-85～0mm<br>Rr：-50～-30mm,84081,,239971,92494-qq-e-759,92494-qq-e-d-759,4959094924944,92494,BLITZ,DAMPER ZZ-R,純正/強化ゴム,4.0/2.5,180/140,ID62ストレート/樽型orテーパー型(専用形状),-85～0mm<br>Rr：-50～-30,タイヤハウス内(円盤型),-,固定式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,150000,102000
スズキ,ワゴンRスティングレー,MH35S/MH55S,17/02～,R06A,2WD<br>ターボ/NA,Fr：-74～0mm<br>Rr：-51～-22mm,84081,,240218,92380-qq-e-196k,92380-qq-e-d-196k,4959094923800,92380,BLITZ,DAMPER ZZ-R,純正/純正,4.0/3.0,140/150,ID62ストレート/樽型orテーパー型(専用形状),-74～0mm<br>Rr：-51～-22,アッパーマウント上側,100mm,付属なし/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,150000,102000
スズキ,ワゴンRスティングレー,MH35S/MH55S,17/02～,R06A,ターボ/NA<br>4WD,Fr：-70～0mm<br>Rr：-30～-10mm,84081,,240310,92520-qq-e-306k,92520-qq-e-d-306k,4959094925200,92520,BLITZ,DAMPER ZZ-R,純正/純正,4.0/2.5,140/140,ID62ストレート/樽型orテーパー型(専用形状),-70～0mm<br>Rr：-30～-10,アッパーマウント上側,100mm,付属なし/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,150000,102000
スバル,BRZ,ZC6,12/03～,FA20,MC前後共通,Fr：-55～0mm<br>Rr：-60～-10mm,89510,,239878,92467-qq-e-491,92467-qq-e-d-491,4959094924678,92467,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,6.0/4.0,150/200,ID62ストレート/ID62ストレート,-55～0mm<br>Rr：-60～-10,アッパーマウント上側,-,固定式/付属なし,-,リアショック上部トランクサイドパネル要カット加工<br>ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,160000,107800
スバル,WRX S4,VAG,14/08～18/06,FA20,,Fr：-85～0mm<br>Rr：-40～0mm,87881,,240464,92324-qq-e-79k,92324-qq-e-d-79k,4959094923244,92324,BLITZ,DAMPER ZZ-R,強化ゴム/強化ゴム,6.0/5.0,200/220,ID62ストレート/ID62ストレート,-85～0mm<br>Rr：-40～0,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,157000,109100
スバル,WRX S4,VAG,18/06～19/06,FA20,,Fr：-85～0mm<br>Rr：-40～0mm,87881,,240465,92324-qq-e-80k,92324-qq-e-d-80k,4959094923244,92324,BLITZ,DAMPER ZZ-R,強化ゴム/強化ゴム,6.0/5.0,200/220,ID62ストレート/ID62ストレート,-85～0mm<br>Rr：-40～0,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,157000,109100
スバル,WRX S4,VAG,19/06～,FA20,,Fr：-85～0mm<br>Rr：-40～0mm,87881,,240423,92324-qq-e-494,92324-qq-e-d-494,4959094923244,92324,BLITZ,DAMPER ZZ-R,強化ゴム/強化ゴム,6.0/5.0,200/220,ID62ストレート/ID62ストレート,-85～0mm<br>Rr：-40～0,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,157000,109100
スバル,WRX STI,VAB,14/08～18/06,EJ20,,Fr：-60～0mm<br>Rr：-40～+15mm,89510,,240426,92334-qq-e-500,92334-qq-e-d-500,4959094923343,92334,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,7.0/6.0,200/200,ID62ストレート/ID62ストレート,-60～0mm<br>Rr：-40～+15,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工<br>ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,160000,110800
スバル,WRX STI,VAB,18/06～19/06,EJ20,,Fr：-60～0mm<br>Rr：-40～+15mm,89510,,240425,92334-qq-e-497,92334-qq-e-d-497,4959094923343,92334,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,7.0/6.0,200/200,ID62ストレート/ID62ストレート,-60～0mm<br>Rr：-40～+15,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工<br>ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,160000,110800
スバル,WRX STI,VAB,19/06～,EJ20,,Fr：-60～0mm<br>Rr：-40～+15mm,89510,,240468,92334-qq-e-91k,92334-qq-e-d-91k,4959094923343,92334,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,7.0/6.0,200/200,ID62ストレート/ID62ストレート,-60～0mm<br>Rr：-40～+15,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工<br>ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,160000,110800
スバル,WRX STI,VAF,14～,EJ25,USAモデル,Fr：-60～0mm<br>Rr：-40～+15mm,89510,,240576,92334-qq-e-92k,出さない,4959094923343,92334,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,7.0/6.0,200/200,ID62ストレート/ID62ストレート,-60～0mm<br>Rr：-40～+15,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工<br>ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,160000,出さない
スバル,XV,GP7,12/10～17/05,FB20,,Fr：-70～0mm<br>Rr：-55～-10mm,89510,,240427,92338-qq-e-503,92338-qq-e-d-503,4959094923381,92338,BLITZ,DAMPER ZZ-R,強化ゴム/強化ゴム,6.0/6.0,220/200,ID62ストレート/ID62ストレート,-70～0mm<br>Rr：-55～-10,アッパーマウント上側,100mm,付属なし/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,160000,110800
スバル,XVハイブリッド,GPE,13/06～,FB20,,Fr：-70～0mm<br>Rr：-55～-10mm,89510,,240428,92338-qq-e-505,92338-qq-e-d-505,4959094923381,92338,BLITZ,DAMPER ZZ-R,強化ゴム/強化ゴム,6.0/6.0,220/200,ID62ストレート/ID62ストレート,-70～0mm<br>Rr：-55～-10,アッパーマウント上側,100mm,付属なし/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,160000,110800
スバル,インプレッサ,GC8,92/11～00/08,EJ20,ターボ,Fr：-55～+20mm<br>Rr：-50～+20mm,94939,,240431,92454-qq-e-507,92454-qq-e-d-507,4959094924548,92454,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,7.0/5.0,200/220,ID62ストレート/ID62ストレート,-55～+20mm<br>Rr：-50～+20,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,116600
スバル,インプレッサ,GD9,00/08～03/09,EJ20,,Fr：-70～0mm<br>Rr：-60～0mm,94939,,240443,92768-qq-e-508,92768-qq-e-d-508,4959094927686,92768,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,6.0/4.0,200/220,ID62ストレート/ID62ストレート,-70～0mm<br>Rr：-60～0,アッパーマウント上側,200mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,116600
スバル,インプレッサ,GDA,00/08～07/06,EJ20,A-G型(P.C.D:100),Fr：-70～0mm<br>Rr：-60～0mm,94939,,240445,92768-qq-e-514,92768-qq-e-d-514,4959094927686,92768,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,6.0/4.0,200/220,ID62ストレート/ID62ストレート,-70～0mm<br>Rr：-60～0,アッパーマウント上側,200mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,116600
スバル,インプレッサ,GDB,00/10～04/06,EJ20,A-D型(P.C.D:100),Fr：-70～0mm<br>Rr：-60～0mm,94939,,240444,92768-qq-e-511,92768-qq-e-d-511,4959094927686,92768,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,6.0/4.0,200/220,ID62ストレート/ID62ストレート,-70～0mm<br>Rr：-60～0,アッパーマウント上側,200mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,116600
スバル,インプレッサ,GDB,04/06～07/06,EJ20,E-G型(P.C.D:114.3),Fr：-70～0mm<br>Rr：-60～0mm,94939,,240446,92769-qq-e-517,92769-qq-e-d-517,4959094927693,92769,BLITZ,DAMPER ZZ-R,調整式ピロ/強化ゴム,6.0/4.0,200/220,ID62ストレート/ID62ストレート,-70～0mm<br>Rr：-60～0,アッパーマウント上側,200mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,116600
