自動車メーカー,車種,型式,年式,駆動,排気量,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,仕様,備考,注意事項,定価,SET価格
トヨタ,ヴェルファイア,AGH35W,H27～R2,4WD,2500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,純正フロントアッパーマウント付,146883,,296008,AXIS-qq-e-h-18k,AXIS-qq-e-d-h-18k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,ANH20W,H20～H26,2WD,2400cc,,,123716,,296017,AXIS-qq-e-h-26k,AXIS-qq-e-d-h-26k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-10mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイア,ANH20W,H20～H26,2WD,2400cc,,純正フロントアッパーマウント付,136809,,296028,AXIS-qq-e-h-36k,AXIS-qq-e-d-h-36k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-10mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,ANH25W,H20～H26,4WD,2400cc,,,123716,,296018,AXIS-qq-e-h-27k,AXIS-qq-e-d-h-27k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイア,ANH25W,H20～H26,4WD,2400cc,,純正フロントアッパーマウント付,136809,,296029,AXIS-qq-e-h-37k,AXIS-qq-e-d-h-37k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,GGH20W,H20～H26,2WD,3500cc,,,123716,,296019,AXIS-qq-e-h-28k,AXIS-qq-e-d-h-28k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイア,GGH20W,H20～H26,2WD,3500cc,,純正フロントアッパーマウント付,136809,,296030,AXIS-qq-e-h-38k,AXIS-qq-e-d-h-38k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,GGH25W,H20～H26,4WD,3500cc,,,123716,,296020,AXIS-qq-e-h-29k,AXIS-qq-e-d-h-29k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイア,GGH25W,H20～H26,4WD,3500cc,,純正フロントアッパーマウント付,136809,,296031,AXIS-qq-e-h-39k,AXIS-qq-e-d-h-39k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,GGH30W,H27～R2,2WD,3500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,,138367,,296076,AXIS-qq-e-h-7k,AXIS-qq-e-d-h-7k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイア,GGH30W,H27～R2,2WD,3500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,純正フロントアッパーマウント付,146883,,296007,AXIS-qq-e-h-17k,AXIS-qq-e-d-h-17k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,GGH35W,H27～R2,4WD,3500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,,138367,,296093,AXIS-qq-e-h-9k,AXIS-qq-e-d-h-9k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイア,GGH35W,H27～R2,4WD,3500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,純正フロントアッパーマウント付,146883,,296009,AXIS-qq-e-h-19k,AXIS-qq-e-d-h-19k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイアハイブリッド,ATH20W,H20～H26,,,,,123716,,296022,AXIS-qq-e-h-30k,AXIS-qq-e-d-h-30k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-30mm～-85mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイアハイブリッド,ATH20W,H20～H26,,,,純正フロントアッパーマウント付,136809,,296033,AXIS-qq-e-h-40k,AXIS-qq-e-d-h-40k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-30mm～-85mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイアハイブリッド,AYH30W,H27～R2,,,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/V Lエディション/ZR Gエディション/ZR/Z/V/X,,138367,,296000,AXIS-qq-e-h-10k,AXIS-qq-e-d-h-10k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):-30～-80mm(±10mm)/-30～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイアハイブリッド,AYH30W,H27～R2,,,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/V Lエディション/ZR Gエディション/ZR/Z/V/X,純正フロントアッパーマウント付,146883,,296011,AXIS-qq-e-h-20k,AXIS-qq-e-d-h-20k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):-30～-80mm(±10mm)/-30～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴォクシー,ZRR80G,H26～,2WD,,マイナーチェンジ後も対応<br>標準グレード,,118679,,296035,AXIS-qq-e-h-42k,AXIS-qq-e-d-h-42k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-10mm～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.9K<br>出荷時車高(F/R):純正比-40mm/純正比-50mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴォクシー,ZRR80G,H26～,2WD,,マイナーチェンジ後も対応<br>標準グレード,純正フロントアッパーマウント付,131773,,296055,AXIS-qq-e-h-60k,AXIS-qq-e-d-h-60k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-10mm～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.9K<br>出荷時車高(F/R):純正比-40mm/純正比-50mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴォクシー,ZRR80W,H26～,2WD,,マイナーチェンジ後も対応<br>エアログレード,,118679,,296034,AXIS-qq-e-h-41k,AXIS-qq-e-d-h-41k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-10mm～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.9K<br>出荷時車高(F/R):純正比-40mm/純正比-50mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴォクシー,ZRR80W,H26～,2WD,,マイナーチェンジ後も対応<br>エアログレード,純正フロントアッパーマウント付,131773,,296053,AXIS-qq-e-h-59k,AXIS-qq-e-d-h-59k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-10mm～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.9K<br>出荷時車高(F/R):純正比-40mm/純正比-50mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴォクシー,ZRR85G,H26～,4WD,,マイナーチェンジ後も対応<br>標準グレード,,118679,,296037,AXIS-qq-e-h-44k,AXIS-qq-e-d-h-44k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-55mm～-95mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.1K<br>出荷時車高(F/R):純正比-40mm/純正比-85mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴォクシー,ZRR85G,H26～,4WD,,マイナーチェンジ後も対応<br>標準グレード,純正フロントアッパーマウント付,131773,,296057,AXIS-qq-e-h-62k,AXIS-qq-e-d-h-62k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-55mm～-95mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.1K<br>出荷時車高(F/R):純正比-40mm/純正比-85mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴォクシー,ZRR85W,H26～,4WD,,マイナーチェンジ後も対応<br>エアログレード,,118679,,296036,AXIS-qq-e-h-43k,AXIS-qq-e-d-h-43k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-55mm～-95mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.1K<br>出荷時車高(F/R):純正比-40mm/純正比-85mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴォクシー,ZRR85W,H26～,4WD,,マイナーチェンジ後も対応<br>エアログレード,純正フロントアッパーマウント付,131773,,296056,AXIS-qq-e-h-61k,AXIS-qq-e-d-h-61k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):0mm～-80mm(±10mm)/-55mm～-95mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.4K/樽型 5.1K<br>出荷時車高(F/R):純正比-40mm/純正比-85mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
