自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,取付位置,仕様,注意事項,定価,送料,SET価格
ダイハツ,ミラ/ミラジーノ,L660S,,,,8479,,310082,KLRD002-01-qq-e-f2-53k,KLRD002-01-qq-e-d-53k,KLRD002-01,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ミラ/ミラジーノ,L710S/L710V,,,,8479,,310077,KLRD001-01-qq-e-f2-52k,KLRD001-01-qq-e-d-52k,KLRD001-01,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ミラアヴィ,L260S,,,,8479,,310084,KLRD002-02-qq-e-f2-51k,KLRD002-02-qq-e-d-51k,KLRD002-02,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ミライース,LA310S,,,,8479,,310100,KLRD004-06-qq-e-f2-54k,KLRD004-06-qq-e-d-54k,KLRD004-06,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ミラココア,L685S,,,,8479,,310104,KLRD004-10-qq-e-f2-55k,KLRD004-10-qq-e-d-55k,KLRD004-10,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ムーヴ,L160S,,,,8479,,310085,KLRD002-03-qq-e-f2-57k,KLRD002-03-qq-e-d-57k,KLRD002-03,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ムーヴ,L185S,,,,8479,,310095,KLRD004-01-qq-e-f2-58k,KLRD004-01-qq-e-d-58k,KLRD004-01,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ムーヴ,L910S/L912S,,,,8479,,310078,KLRD001-02-qq-e-f2-56k,KLRD001-02-qq-e-d-56k,KLRD001-02,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ムーヴ,LA110S,,,,8479,,310099,KLRD004-05-qq-e-f2-59k,KLRD004-05-qq-e-d-59k,KLRD004-05,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ムーヴキャンバス,LA810S,,,,8479,,310108,KLRD004-14-qq-e-f2-103k,KLRD004-14-qq-e-d-103k,KLRD004-14,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ムーヴコンテ,L585S,,,,8479,,310098,KLRD004-04-qq-e-f2-60k,KLRD004-04-qq-e-d-60k,KLRD004-04,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ムーヴラテ,L560S,,,,8479,,310086,KLRD002-04-qq-e-f2-61k,KLRD002-04-qq-e-d-61k,KLRD002-04,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
トヨタ,ピクシスジョイ,LA260A,,,,8479,,310111,KLRD004-17-qq-e-f2-96k,KLRD004-17-qq-e-d-96k,KLRD004-17,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
トヨタ,ピクシススペース,L585A,,,,8479,,310110,KLRD004-16-qq-e-f2-97k,KLRD004-16-qq-e-d-97k,KLRD004-16,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
トヨタ,ピクシスバン,S321M,,,,8479,,310094,KLRD003-5-qq-e-f2-98k,KLRD003-5-qq-e-d-98k,KLRD003-5,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
トヨタ,ピクシスバン,S331M,,,,8479,,310118,KLRD005-5-qq-e-f2-99k,KLRD005-5-qq-e-d-99k,KLRD005-5,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
日産,オッティ,H92W,,,片側ピロボール仕様,10906,,310134,KLRN002-7-qq-e-f2-71,KLRN002-7-qq-e-d-71,KLRN002-7,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
日産,デイズ,B21W,,,片側ピロボール仕様,10906,,310132,KLRN002-5-qq-e-f2-69,KLRN002-5-qq-e-d-69,KLRN002-5,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
日産,デイズルークス,B21A,,,片側ピロボール仕様,10906,,310133,KLRN002-6-qq-e-f2-70,KLRN002-6-qq-e-d-70,KLRN002-6,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
日産,モコ,MG22S,,,,8479,,310154,KLRS005-9-qq-e-f2-93k,KLRS005-9-qq-e-d-93k,KLRS005-9,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
日産,モコ,MG33S,,,,8479,,310171,KLRS007-9-qq-e-f2-94k,KLRS007-9-qq-e-d-94k,KLRS007-9,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
日産,ルークス,ML21S,,,,8479,,310159,KLRS007-10-qq-e-f2-95k,KLRS007-10-qq-e-d-95k,KLRS007-10,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ホンダ,ザッツ,JD1/JD2,,,,8479,,310121,KLRH001-3-qq-e-f2-62k,KLRH001-3-qq-e-d-62k,KLRH001-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ホンダ,ゼスト,JE2,,,,8479,,310122,KLRH001-4-qq-e-f2-37,KLRH001-4-qq-e-d-37,KLRH001-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ホンダ,トゥデイ,JA4,,,,8479,,310123,KLRH002-01-qq-e-f2-38,KLRH002-01-qq-e-d-38,KLRH002-01,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ホンダ,ライフ,JA4,,,,8479,,310124,KLRH002-02-qq-e-f2-41,KLRH002-02-qq-e-d-41,KLRH002-02,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ホンダ,ライフ,JB1/JB2/JB3/JB4,,,,8479,,310119,KLRH001-1-qq-e-f2-40,KLRH001-1-qq-e-d-40,KLRH001-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ホンダ,ライフ,JB6/JB8,,,,8479,,310120,KLRH001-2-qq-e-f2-39,KLRH001-2-qq-e-d-39,KLRH001-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
マツダ,AZワゴン,MD11S/MD12S/MD21S/MD22S,～H14/03,,,8479,,310144,KLRS002-6-qq-e-f2-83k,KLRS002-6-qq-e-d-83k,KLRS002-6,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
マツダ,AZワゴン,MJ23S,,,,8479,,310163,KLRS007-14-qq-e-f2-101k,KLRS007-14-qq-e-d-101k,KLRS007-14,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
マツダ,キャロル,HB12S/HB22S/HB23S,,,,8479,,310142,KLRS002-4-qq-e-f2-84k,KLRS002-4-qq-e-d-84k,KLRS002-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
マツダ,キャロル,HB35S,,,,8479,,310162,KLRS007-13-qq-e-f2-85k,KLRS007-13-qq-e-d-85k,KLRS007-13,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
マツダ,スクラム,DG64V/DG64W,,,片側ピロボール仕様,10906,,310157,KLRS006-3-qq-e-f2-86k,KLRS006-3-qq-e-d-86k,KLRS006-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
マツダ,フレア/フレアワゴン,MM32S/MJ34S,,,,8479,,310160,KLRS007-11-qq-e-f2-87k,KLRS007-11-qq-e-d-87k,KLRS007-11,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
マツダ,フレアクロスオーバー,MS31S/MS41S,,,,8479,,310161,KLRS007-12-qq-e-f2-88k,KLRS007-12-qq-e-d-88k,KLRS007-12,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
マツダ,ラピュタ,HP11S/HP12S/HP21S/HP22S,～H15/08,,,8479,,310143,KLRS002-5-qq-e-f2-89k,KLRS002-5-qq-e-d-89k,KLRS002-5,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
三菱,eKカスタム,B11W,,,片側ピロボール仕様,10906,,310130,KLRN002-3-qq-e-f2-77,KLRN002-3-qq-e-d-77,KLRN002-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
三菱,eKスペース,B11A,,,片側ピロボール仕様,10906,,310131,KLRN002-4-qq-e-f2-76,KLRN002-4-qq-e-d-76,KLRN002-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
三菱,eKワゴン/eKスポーツ,H81W,,,,8479,,310125,KLRM001-01-qq-e-f2-70k,KLRM001-01-qq-e-d-70k,KLRM001-01,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
三菱,eKワゴン/eKスポーツ,H82W,,,片側ピロボール仕様,10906,,310128,KLRN002-1-qq-e-f2-79,KLRN002-1-qq-e-d-79,KLRN002-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
三菱,トッポ/トッポBJ,H42A,,,,8479,,310126,KLRM001-02-qq-e-f2-72k,KLRM001-02-qq-e-d-72k,KLRM001-02,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
三菱,トッポ/トッポBJ,H82A,,,片側ピロボール仕様,10906,,310129,KLRN002-2-qq-e-f2-78,KLRN002-2-qq-e-d-78,KLRN002-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),12800,500,13800
三菱,パジェロミニ,H58A,,,,8479,,310127,KLRM005-1-qq-e-f2-74k,KLRM005-1-qq-e-d-74k,KLRM005-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
