自動車メーカー,車種,型式,エンジン,排気量(cc),年式,純正規格・熱価,プラグタイプ,熱価,備考,本数,販売価格,Camp価格,商品ID,物販コード
スズキ,アルト/アルトワークス,CN21S/CP21S/CR22S/CS22S,F6A(4VALVE・DOHC・TURBO),660,90/3～94/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,250794,50003-M40X-qq-e-06702
スズキ,アルト/アルトワークス,CR22S/CS22S,F6A(2VALVE・TURBO),660,91/9～94/12,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,251500,50003-M35G-qq-e-06494
スズキ,アルト/アルトワークス,CR22S/CS22S,F6A(2VALVE・TURBO),660,91/9～94/12,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,257957,50003-M40G-qq-e-06414
スズキ,アルト/アルトワークス,CR22S/CS22S,F6A(2VALVE・TURBO),660,91/9～94/12,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,254141,50003-M45G-qq-e-06454
スズキ,アルト/アルトワークス,CR22S/CS22S,F6A(4VALVE),660,91/9～94/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,253570,50003-M40X-qq-e-06700
スズキ,アルト/アルトワークス,HA11S/HB11S,F6A(4VALVE),660,94/12～98/10,M12:7,Xタイプ,NGK8番相当,,3本,5958,,249753,50003-M40X-qq-e-06701
スズキ,アルト/アルトワークス,HA11S/HB11S,F6A(TURBO),660,94/12～98/10,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,253298,50003-M35G-qq-e-06497
スズキ,アルト/アルトワークス,HA11S/HB11S,F6A(TURBO),660,94/12～98/10,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,256531,50003-M40G-qq-e-06417
スズキ,アルト/アルトワークス,HA11S/HB11S,F6A(TURBO),660,94/12～98/10,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,254142,50003-M45G-qq-e-06457
スズキ,アルト/アルトワークス,HA11S/HC11V/HD11V,F6A(2VALVE),660,94/12～98/10,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,251499,50003-M35G-qq-e-06492
スズキ,アルト/アルトワークス,HA11S/HC11V/HD11V,F6A(2VALVE),660,94/12～98/10,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,251669,50003-M40G-qq-e-06412
スズキ,アルト/アルトワークス,HA11S/HC11V/HD11V,F6A(2VALVE),660,94/12～98/10,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,254140,50003-M45G-qq-e-06452
スズキ,アルト/アルトワークス,HA12S,F6A,660,98/10～00/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,249751,50003-M40X-qq-e-06698
スズキ,アルト/アルトワークス,HA12S,F6A(TURBO),660,98/10～00/12,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,257864,50003-M35G-qq-e-06495
スズキ,アルト/アルトワークス,HA12S,F6A(TURBO),660,98/10～00/12,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,252927,50003-M40G-qq-e-06415
スズキ,アルト/アルトワークス,HA12S,F6A(TURBO),660,98/10～00/12,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,257747,50003-M45G-qq-e-06455
スズキ,アルト/アルトワークス,HA12S/HA12V,F6A(DOHC),660,99/10～00/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,252490,50003-M40X-qq-e-06703
スズキ,アルト/アルトワークス,HA12V,F6A(CARBURETOR),660,98/10～00/12,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,253297,50003-M35G-qq-e-06496
スズキ,アルト/アルトワークス,HA12V,F6A(CARBURETOR),660,98/10～00/12,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,252928,50003-M40G-qq-e-06416
スズキ,アルト/アルトワークス,HA12V,F6A(CARBURETOR),660,98/10～00/12,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,255133,50003-M45G-qq-e-06456
スズキ,アルト/アルトワークス,HA21S/HB21S,K6A(4VALVE・DOHC・TURBO),660,94/12～98/10,M12:7,Xタイプ,NGK8番相当,,3本,5958,,249754,50003-M40X-qq-e-06704
スズキ,アルト/アルトワークス,HA22S,K6A(DOHC、LEANBURN),660,98/10～00/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,252245,50003-M40X-qq-e-06707
スズキ,アルト/アルトワークス,HA22S,K6A(DOHC、TURBO),660,98/10～00/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,252491,50003-M40X-qq-e-06706
スズキ,アルト/アルトワークス,HA22S/HB22S,K6A(DOHC),660,98/10～00/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,257110,50003-M40X-qq-e-06705
スズキ,アルト/アルトワークス,HA23S,K6A(DOHC、VVT),660,00/12～04/8,M12:7,Xタイプ,NGK8番相当,,3本,5958,,254522,50003-M40X-qq-e-06708
スズキ,アルト/アルトワークス,HA23S/HA23V,K6A(4VALVE・DOHC),660,00/12～04/8,M12:7,Xタイプ,NGK8番相当,,3本,5958,,256060,50003-M40X-qq-e-06709
スズキ,アルト/アルトワークス,HA24S,K6A(4VALVE・DOHC),660,04/9～09/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,257111,50003-M40X-qq-e-06710
スズキ,アルト/アルトワークス,HA24V,K6A(4VALVE・DOHC),660,05/1～09/12,M12:7,Xタイプ,NGK8番相当,,3本,5958,,254523,50003-M40X-qq-e-06711
スズキ,アルト/アルトワークス,HA25S,K6A(DOHC),660,09/12～14/12,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,252523,50003-M40XL-qq-e-06765
スズキ,アルト/アルトワークス,HA25S,K6A(DOHC),660,09/12～14/12,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,251453,50003-M45XL-qq-e-06792
スズキ,アルト/アルトワークス,HA25V,K6A(DOHC),660,09/12～14/12,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,252524,50003-M40XL-qq-e-06766
スズキ,アルト/アルトワークス,HA25V,K6A(DOHC),660,09/12～14/12,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,251454,50003-M45XL-qq-e-06793
スズキ,アルト/アルトワークス,HA36S,R06A(NA),660,14/12～,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,256731,50003-M40XL-qq-e-06767
スズキ,アルト/アルトワークス,HA36S,R06A(NA),660,14/12～,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,251455,50003-M45XL-qq-e-06794
スズキ,アルト/アルトワークス,HA36S,R06A(TURBO),660,15/3～,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,250284,50003-M40XL-qq-e-06768
スズキ,アルト/アルトワークス,HA36S,R06A(TURBO),660,15/3～,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,249449,50003-M45XL-qq-e-06795
スズキ,アルトラパン,HE21S,K6A(4VALVE・DOHC),660,02/1～08/11,M12:7,Xタイプ,NGK8番相当,,3本,5958,,254524,50003-M40X-qq-e-06712
スズキ,アルトラパン,HE21S,K6A(4VALVE・DOHC・TURBO),660,02/10～08/11,M12:7,Xタイプ,NGK8番相当,,3本,5958,,252492,50003-M40X-qq-e-06713
スズキ,アルトラパン,HE22S,K6A(4VALVE・DOHC),660,08/11～15/5,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,253114,50003-M40XL-qq-e-06769
スズキ,アルトラパン,HE22S,K6A(4VALVE・DOHC),660,08/11～15/5,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,252752,50003-M45XL-qq-e-06796
スズキ,アルトラパン,HE22S,K6A(4VALVE・DOHC・TURBO),660,08/11～15/5,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,256732,50003-M40XL-qq-e-06770
スズキ,アルトラパン,HE22S,K6A(4VALVE・DOHC・TURBO),660,08/11～15/5,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,249450,50003-M45XL-qq-e-06797
スズキ,アルトラパン,HE33S,R06A(NA),660,15/6～,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,254096,50003-M40XL-qq-e-06771
スズキ,アルトラパン,HE33S,R06A(NA),660,15/6～,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,250454,50003-M45XL-qq-e-06798
スズキ,イグニス,FF21S,K12C,1200,16/1～,M12ロングリーチHEX16:6,XLタイプ,NGK8番相当,,4本,8706,,257695,50003-M40XL-qq-e-06772
スズキ,イグニス,FF21S,K12C,1200,16/1～,M12ロングリーチHEX16:6,XLタイプ,NGK9番相当,,4本,8706,,250455,50003-M45XL-qq-e-06799
スズキ,エスクード,TA01W/TA01R/TA01V,G16A,1600,88/5～90/8,LONG:5,Gタイプ,NGK7番相当,,4本,7735,,255388,50003-M35G-qq-e-06498
スズキ,エスクード,TA01W/TA01R/TA01V,G16A,1600,88/5～90/8,LONG:5,Gタイプ,NGK8番相当,,4本,7735,,254437,50003-M40G-qq-e-06418
スズキ,エスクード,TA01W/TA01R/TA01V,G16A,1600,88/5～90/8,LONG:5,Gタイプ,NGK9番相当,,4本,7735,,254143,50003-M45G-qq-e-06458
スズキ,エスクード,TA02W,G16A,1600,00/4～05/4,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,253852,50003-M35i-qq-e-06541
スズキ,エスクード,TA02W,G16A,1600,00/4～05/4,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,254068,50003-M40i-qq-e-06588
スズキ,エスクード,TA02W,G16A,1600,00/4～05/4,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,250890,50003-M45i-qq-e-06635
スズキ,エスクード,TA02W/TD02W,G16A,1600,97/11～00/4,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252850,50003-M35i-qq-e-06540
スズキ,エスクード,TA02W/TD02W,G16A,1600,97/11～00/4,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,253082,50003-M40i-qq-e-06587
スズキ,エスクード,TA02W/TD02W,G16A,1600,97/11～00/4,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,253664,50003-M45i-qq-e-06634
スズキ,エスクード,TA11W/TD11W,H20A,2000,94/12～96/10,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,254880,50003-M35i-qq-e-06543
スズキ,エスクード,TA11W/TD11W,H20A,2000,94/12～96/10,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,256699,50003-M40i-qq-e-06590
スズキ,エスクード,TA11W/TD11W,H20A,2000,94/12～96/10,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,252659,50003-M45i-qq-e-06637
スズキ,エスクード,TA51W/TD51W,J20A,2000,96/10～97/11,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252851,50003-M35i-qq-e-06544
スズキ,エスクード,TA51W/TD51W,J20A,2000,96/10～97/11,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,251167,50003-M40i-qq-e-06591
スズキ,エスクード,TA51W/TD51W,J20A,2000,96/10～97/11,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,252660,50003-M45i-qq-e-06638
スズキ,エスクード,TA52W/TD52W,J20A(DOHC),2000,97/11～00/4,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,255479,50003-M35i-qq-e-06545
スズキ,エスクード,TA52W/TD52W,J20A(DOHC),2000,97/11～00/4,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,256700,50003-M40i-qq-e-06592
スズキ,エスクード,TA52W/TD52W,J20A(DOHC),2000,97/11～00/4,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,252661,50003-M45i-qq-e-06639
スズキ,エスクード,TA74W,M16A(DOHC、VVT),1600,06/6～08/5,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,250073,50003-M35i-qq-e-06542
スズキ,エスクード,TA74W,M16A(DOHC、VVT),1600,06/6～08/5,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,250187,50003-M40i-qq-e-06589
スズキ,エスクード,TA74W,M16A(DOHC、VVT),1600,06/6～08/5,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,252658,50003-M45i-qq-e-06636
スズキ,エスクード,TD01W/TA01W/TA01R,G16A,1600,90/9～97/11,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,257456,50003-M35i-qq-e-06539
スズキ,エスクード,TD01W/TA01W/TA01R,G16A,1600,90/9～97/11,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,252188,50003-M40i-qq-e-06586
スズキ,エスクード,TD01W/TA01W/TA01R,G16A,1600,90/9～97/11,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,252657,50003-M45i-qq-e-06633
スズキ,エスクード,TD54W,J20A(DOHC),2000,05/5～08/5,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252852,50003-M35i-qq-e-06547
スズキ,エスクード,TD54W,J20A(DOHC),2000,05/5～08/5,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,251168,50003-M40i-qq-e-06594
スズキ,エスクード,TD54W,J20A(DOHC),2000,05/5～08/5,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,252662,50003-M45i-qq-e-06641
スズキ,エスクード,TD61W,H25A,2500,96/10～97/11,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,253853,50003-M35i-qq-e-06548
スズキ,エスクード,TD61W,H25A,2500,96/10～97/11,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,253083,50003-M40i-qq-e-06595
スズキ,エスクード,TD61W,H25A,2500,96/10～97/11,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,254653,50003-M45i-qq-e-06642
スズキ,エスクード,TD62W,H25A,2500,98/2～00/4,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,256431,50003-M35i-qq-e-06549
スズキ,エスクード,TD62W,H25A,2500,98/2～00/4,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,253084,50003-M40i-qq-e-06596
スズキ,エスクード,TD62W,H25A,2500,98/2～00/4,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,256243,50003-M45i-qq-e-06643
スズキ,エスクード,TD62W,H25A(DOHC),2500,00/4～05/4,ISO:5,ISOタイプ,NGK7番相当,,6本,11294,,254882,50003-M35i-qq-e-06550
スズキ,エスクード,TD62W,H25A(DOHC),2500,00/4～05/4,ISO:5,ISOタイプ,NGK8番相当,,6本,11294,,255048,50003-M40i-qq-e-06597
スズキ,エスクード,TD62W,H25A(DOHC),2500,00/4～05/4,ISO:5,ISOタイプ,NGK9番相当,,6本,11294,,256244,50003-M45i-qq-e-06644
スズキ,エスクード,TD94W,H27A(DOHC),2700,05/5～08/5,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,256432,50003-M35i-qq-e-06551
スズキ,エスクード,TD94W,H27A(DOHC),2700,05/5～08/5,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,257662,50003-M40i-qq-e-06598
スズキ,エスクード,TD94W,H27A(DOHC),2700,05/5～08/5,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,252663,50003-M45i-qq-e-06645
スズキ,エスクード,TDA4W,J24B,2400,08/6～,LONGREACH:6,ロングリーチタイプ,NGK7番相当,,4本,7735,,250583,50003-M35iL-qq-e-06677
スズキ,エスクード,TDA4W,J24B,2400,08/6～,LONGREACH:6,ロングリーチタイプ,NGK8番相当,,4本,7735,,251804,50003-M40iL-qq-e-06680
スズキ,エスクード,TDA4W,J24B,2400,08/6～,LONGREACH:6,ロングリーチタイプ,NGK9番相当,,4本,7735,,252740,50003-M45iL-qq-e-06683
スズキ,エスクード,TL52W,J20A(DOHC),2000,00/4～05/4,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,254881,50003-M35i-qq-e-06546
スズキ,エスクード,TL52W,J20A(DOHC),2000,00/4～05/4,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,257661,50003-M40i-qq-e-06593
スズキ,エスクード,TL52W,J20A(DOHC),2000,00/4～05/4,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,249866,50003-M45i-qq-e-06640
スズキ,エブリイ,DA41V/DB41V,F5B(TURBO) ,550,89/6～90/3,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,256885,50003-M35G-qq-e-06500
スズキ,エブリイ,DA41V/DB41V,F5B(TURBO) ,550,89/6～90/3,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,251671,50003-M40G-qq-e-06420
スズキ,エブリイ,DA41V/DB41V,F5B(TURBO) ,550,89/6～90/3,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,257748,50003-M45G-qq-e-06460
スズキ,エブリイ,DA51V/DB51V/DE51V/DF51V,F6A(2VALVE・TURBO),660,90/3～99/1,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,256886,50003-M35G-qq-e-06501
スズキ,エブリイ,DA51V/DB51V/DE51V/DF51V,F6A(2VALVE・TURBO),660,90/3～99/1,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,255576,50003-M40G-qq-e-06421
スズキ,エブリイ,DA51V/DB51V/DE51V/DF51V,F6A(2VALVE・TURBO),660,90/3～99/1,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,253162,50003-M45G-qq-e-06461
スズキ,エブリイ,DA51V/DB51V/DE51V/DF51V,F6A(4VALVE),660,90/3～99/1,M12:7,Xタイプ,NGK8番相当,,3本,5958,,257112,50003-M40X-qq-e-06714
スズキ,エブリイ,DA52V/DB52V,F6A(DOHC),660,99/1～01/8,M12:7,Xタイプ,NGK8番相当,,3本,5958,,250795,50003-M40X-qq-e-06715
スズキ,エブリイ,DA52V/DB52V,F6A(TURBO),660,99/1～99/11,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,256887,50003-M35G-qq-e-06502
スズキ,エブリイ,DA52V/DB52V,F6A(TURBO),660,99/1～99/11,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,253462,50003-M40G-qq-e-06422
スズキ,エブリイ,DA52V/DB52V,F6A(TURBO),660,99/1～99/11,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,257749,50003-M45G-qq-e-06462
スズキ,エブリイ,DA52V/DB52V,F6A(TURBO),660,99/11～01/8,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,256888,50003-M35G-qq-e-06503
スズキ,エブリイ,DA52V/DB52V,F6A(TURBO),660,99/11～01/8,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,257958,50003-M40G-qq-e-06423
スズキ,エブリイ,DA52V/DB52V,F6A(TURBO),660,99/11～01/8,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,250313,50003-M45G-qq-e-06463
スズキ,エブリイ,DA52W,F6A(TURBO),660,99/11～01/8,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,255390,50003-M35G-qq-e-06504
スズキ,エブリイ,DA52W,F6A(TURBO),660,99/11～01/8,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,251672,50003-M40G-qq-e-06424
スズキ,エブリイ,DA52W,F6A(TURBO),660,99/11～01/8,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,256775,50003-M45G-qq-e-06464
スズキ,エブリイ,DA52W,F6A(TURBO),660,99/6～99/11,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,255391,50003-M35G-qq-e-06505
スズキ,エブリイ,DA52W,F6A(TURBO),660,99/6～99/11,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,249683,50003-M40G-qq-e-06425
スズキ,エブリイ,DA52W,F6A(TURBO),660,99/6～99/11,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,251844,50003-M45G-qq-e-06465
スズキ,エブリイ,DA62V/DA62W,K6A(DOHC),660,01/9～05/7,M12:7,Xタイプ,NGK8番相当,,3本,5958,,254525,50003-M40X-qq-e-06717
スズキ,エブリイ,DA62V/DA62W,K6A(DOHC、TURBO),660,01/9～05/7,M12:7,Xタイプ,NGK8番相当,,3本,5958,,252493,50003-M40X-qq-e-06716
スズキ,エブリイ,DA64V/DA64W,K6A(DOHC),660,05/8～10/4,M12:7,Xタイプ,NGK8番相当,,3本,5958,,256061,50003-M40X-qq-e-06719
スズキ,エブリイ,DA64V/DA64W,K6A(DOHC),660,10/5～15/1,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,253115,50003-M40XL-qq-e-06774
スズキ,エブリイ,DA64V/DA64W,K6A(DOHC),660,10/5～15/1,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,250936,50003-M45XL-qq-e-06801
スズキ,エブリイ,DA64V/DA64W,K6A(DOHC、TURBO),660,05/8～10/4,M12:7,Xタイプ,NGK8番相当,,3本,5958,,252494,50003-M40X-qq-e-06718
スズキ,エブリイ,DA64V/DA64W,K6A(DOHC、TURBO),660,10/5～15/1,M12ロングリーチHEX16:7,XLタイプ,NGK8番相当,,3本,6683,,251257,50003-M40XL-qq-e-06773
スズキ,エブリイ,DA64V/DA64W,K6A(DOHC、TURBO),660,10/5～15/1,M12ロングリーチHEX16:7,XLタイプ,NGK9番相当,,3本,6683,,256347,50003-M45XL-qq-e-06800
スズキ,エブリイ,DA71V/DB71V,F5A(TURBO),550,85/11～89/5,LONG:5,Gタイプ,NGK7番相当,,3本,5958,,255389,50003-M35G-qq-e-06499
スズキ,エブリイ,DA71V/DB71V,F5A(TURBO),550,85/11～89/5,LONG:5,Gタイプ,NGK8番相当,,3本,5958,,251670,50003-M40G-qq-e-06419
スズキ,エブリイ,DA71V/DB71V,F5A(TURBO),550,85/11～89/5,LONG:5,Gタイプ,NGK9番相当,,3本,5958,,255134,50003-M45G-qq-e-06459
スズキ,エブリイ+,DA32W,G13B(LEV),1300,99/6～01/5,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,257457,50003-M35i-qq-e-06552
スズキ,エブリイ+,DA32W,G13B(LEV),1300,99/6～01/5,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,254069,50003-M40i-qq-e-06599
スズキ,エブリイ+,DA32W,G13B(LEV),1300,99/6～01/5,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,257257,50003-M45i-qq-e-06646
スズキ,エブリイランディ,DA32W,G13B,1300,01/5～05/6,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,253854,50003-M35i-qq-e-06553
スズキ,エブリイランディ,DA32W,G13B,1300,01/5～05/6,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,251169,50003-M40i-qq-e-06600
スズキ,エブリイランディ,DA32W,G13B,1300,01/5～05/6,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,252664,50003-M45i-qq-e-06647
スズキ,エリオ,RA21S/RB21S,M15A(DOHC),1500,01/1～07/7,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,254883,50003-M35i-qq-e-06554
スズキ,エリオ,RA21S/RB21S,M15A(DOHC),1500,01/1～07/7,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,257663,50003-M40i-qq-e-06601
スズキ,エリオ,RA21S/RB21S,M15A(DOHC),1500,01/1～07/7,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,251920,50003-M45i-qq-e-06648
スズキ,エリオ,RC51S/RD51S,M18A(DOHC、VVT),1800,03/1～07/7,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,255480,50003-M35i-qq-e-06555
スズキ,エリオ,RC51S/RD51S,M18A(DOHC、VVT),1800,03/1～07/7,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,253085,50003-M40i-qq-e-06602
スズキ,エリオ,RC51S/RD51S,M18A(DOHC、VVT),1800,03/1～07/7,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,254654,50003-M45i-qq-e-06649
スズキ,カプチーノ,EA11R,F6A,660,91/11～95/5,M12:7,Xタイプ,NGK8番相当,,3本,5958,,257113,50003-M40X-qq-e-06720
スズキ,カプチーノ,EA21R,K6A,660,95/5～98/1,M12:7,Xタイプ,NGK8番相当,,3本,5958,,252246,50003-M40X-qq-e-06721
スズキ,カルタス,AA33S/AB33S,G13B(DOHC),1300,87/10～88/8,LONG:6,Gタイプ,NGK7番相当,,4本,7735,,253300,50003-M35G-qq-e-06513
スズキ,カルタス,AA33S/AB33S,G13B(DOHC),1300,87/10～88/8,LONG:6,Gタイプ,NGK8番相当,,4本,7735,,252929,50003-M40G-qq-e-06433
スズキ,カルタス,AA33S/AB33S,G13B(DOHC),1300,87/10～88/8,LONG:6,Gタイプ,NGK9番相当,,4本,7735,,251846,50003-M45G-qq-e-06473
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,88/9～90/6,LONG:5,Gタイプ,NGK7番相当,,4本,7735,,255392,50003-M35G-qq-e-06511
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,88/9～90/6,LONG:5,Gタイプ,NGK8番相当,,4本,7735,,251673,50003-M40G-qq-e-06431
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,88/9～90/6,LONG:5,Gタイプ,NGK9番相当,,4本,7735,,257751,50003-M45G-qq-e-06471
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,90/7～91/7,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,256433,50003-M35i-qq-e-06559
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,90/7～91/7,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,256701,50003-M40i-qq-e-06606
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,90/7～91/7,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,256245,50003-M45i-qq-e-06653
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,91/7～97/4,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,256434,50003-M35i-qq-e-06560
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,91/7～97/4,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,257665,50003-M40i-qq-e-06607
スズキ,カルタス,AA34S/AB34S/AF34S,G13B,1300,91/7～97/4,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,257258,50003-M45i-qq-e-06654
スズキ,カルタス,AA34S/AF34S,G13B(DOHC),1300,88/9～91/7,LONG:7,Gタイプ,NGK7番相当,,4本,7735,,253301,50003-M35G-qq-e-06514
スズキ,カルタス,AA34S/AF34S,G13B(DOHC),1300,88/9～91/7,LONG:7,Gタイプ,NGK8番相当,,4本,7735,,250099,50003-M40G-qq-e-06434
スズキ,カルタス,AA34S/AF34S,G13B(DOHC),1300,88/9～91/7,LONG:7,Gタイプ,NGK9番相当,,4本,7735,,254144,50003-M45G-qq-e-06474
スズキ,カルタス,AA34S/AF34S/AB34S,G13B(DOHC),1300,91/7～97/4,LONG:7,Gタイプ,NGK7番相当,,4本,7735,,256890,50003-M35G-qq-e-06515
スズキ,カルタス,AA34S/AF34S/AB34S,G13B(DOHC),1300,91/7～97/4,LONG:7,Gタイプ,NGK8番相当,,4本,7735,,253884,50003-M40G-qq-e-06435
スズキ,カルタス,AA34S/AF34S/AB34S,G13B(DOHC),1300,91/7～97/4,LONG:7,Gタイプ,NGK9番相当,,4本,7735,,251847,50003-M45G-qq-e-06475
スズキ,カルタス,AA41S,G10(TURBO),1000,84/6～88/8,LONG:6,Gタイプ,NGK7番相当,,3本,5958,,250491,50003-M35G-qq-e-06506
スズキ,カルタス,AA41S,G10(TURBO),1000,84/6～88/8,LONG:6,Gタイプ,NGK8番相当,,3本,5958,,257959,50003-M40G-qq-e-06426
スズキ,カルタス,AA41S,G10(TURBO),1000,84/6～88/8,LONG:6,Gタイプ,NGK9番相当,,3本,5958,,251845,50003-M45G-qq-e-06466
